Biomarker_1,Biomarker_2,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
TIMP2_CLIC1,PERM_TIMP2,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
TIMP2_CLIC1,PERM_CLIC1,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
TIMP2_CLIC1,CLIC1_PERM,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
PERM_TIMP2,CLIC1_TIMP2,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
PERM_TIMP2,CLIC1_PERM,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
PERM_CLIC1,CLIC1_TIMP2,0.92199,0.14141,0.98077,0.52830,0.96552,0.67105,0.16162,0.96154,0.54717,0.93548,0.67568,0.50505,0.84615,0.88679,0.85455,0.88000
MMP9_TIMP2,TIMP2_CLIC1,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
MMP9_TIMP2,CLIC1_MMP9,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
MMP9_TIMP2,CLIC1_TIMP2,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
MMP9_CLIC1,TIMP2_MMP9,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
MMP9_CLIC1,TIMP2_CLIC1,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
MMP9_CLIC1,CLIC1_TIMP2,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
TIMP2_MMP9,CLIC1_MMP9,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
TIMP2_MMP9,CLIC1_TIMP2,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
TIMP2_CLIC1,CLIC1_MMP9,0.92163,0.13131,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.55556,0.84615,0.92453,0.85965,0.91667
Endometrial_thickness,PERM_NGAL,0.92012,0.16162,0.98077,0.51923,0.96429,0.67105,0.22222,0.96154,0.65385,0.94444,0.73529,0.44444,0.84615,0.88462,0.85185,0.88000
Endometrial_thickness,NGAL_PERM,0.92012,0.16162,0.98077,0.51923,0.96429,0.67105,0.22222,0.96154,0.65385,0.94444,0.73529,0.44444,0.84615,0.88462,0.85185,0.88000
AGRIN_TIMP2,KPYM_PIGR,0.91909,0.07071,0.98077,0.39623,0.95455,0.61446,0.10101,0.96154,0.41509,0.91667,0.61728,0.63636,0.80769,0.96226,0.83607,0.95455
AGRIN_TIMP2,PIGR_KPYM,0.91909,0.07071,0.98077,0.39623,0.95455,0.61446,0.10101,0.96154,0.41509,0.91667,0.61728,0.63636,0.80769,0.96226,0.83607,0.95455
TIMP2_AGRIN,KPYM_PIGR,0.91909,0.07071,0.98077,0.39623,0.95455,0.61446,0.10101,0.96154,0.41509,0.91667,0.61728,0.63636,0.80769,0.96226,0.83607,0.95455
TIMP2_AGRIN,PIGR_KPYM,0.91909,0.07071,0.98077,0.39623,0.95455,0.61446,0.10101,0.96154,0.41509,0.91667,0.61728,0.63636,0.80769,0.96226,0.83607,0.95455
AGRIN_PIGR,TIMP2_KPYM,0.91872,0.12121,0.98077,0.41509,0.95652,0.62195,0.17172,0.96154,0.54717,0.93548,0.67568,0.55556,0.84615,0.90566,0.85714,0.89796
AGRIN_PIGR,KPYM_TIMP2,0.91872,0.12121,0.98077,0.41509,0.95652,0.62195,0.17172,0.96154,0.54717,0.93548,0.67568,0.55556,0.84615,0.90566,0.85714,0.89796
TIMP2_KPYM,PIGR_AGRIN,0.91872,0.12121,0.98077,0.41509,0.95652,0.62195,0.17172,0.96154,0.54717,0.93548,0.67568,0.55556,0.84615,0.90566,0.85714,0.89796
KPYM_TIMP2,PIGR_AGRIN,0.91872,0.12121,0.98077,0.41509,0.95652,0.62195,0.17172,0.96154,0.54717,0.93548,0.67568,0.55556,0.84615,0.90566,0.85714,0.89796
Endometrial_thickness,PERM_PIGR,0.91716,0.17172,0.98077,0.53846,0.96552,0.68000,0.21212,0.96154,0.61538,0.94118,0.71429,0.39394,0.84615,0.84615,0.84615,0.84615
Endometrial_thickness,PIGR_PERM,0.91716,0.17172,0.98077,0.53846,0.96552,0.68000,0.21212,0.96154,0.61538,0.94118,0.71429,0.39394,0.84615,0.84615,0.84615,0.84615
Endometrial_thickness,MMP9_PIGR,0.91679,0.15152,0.98077,0.46154,0.96000,0.64557,0.15152,0.98077,0.46154,0.96000,0.64557,0.39394,0.86538,0.82692,0.86000,0.83333
Endometrial_thickness,PIGR_MMP9,0.91679,0.15152,0.98077,0.46154,0.96000,0.64557,0.15152,0.98077,0.46154,0.96000,0.64557,0.39394,0.86538,0.82692,0.86000,0.83333
MMP9_TIMP2,CLIC1_PIGR,0.91582,0.12121,0.98077,0.47170,0.96154,0.64557,0.20202,0.96154,0.67925,0.94737,0.74627,0.47475,0.90385,0.83019,0.89796,0.83929
MMP9_TIMP2,PIGR_CLIC1,0.91582,0.12121,0.98077,0.47170,0.96154,0.64557,0.20202,0.96154,0.67925,0.94737,0.74627,0.47475,0.90385,0.83019,0.89796,0.83929
TIMP2_MMP9,CLIC1_PIGR,0.91582,0.12121,0.98077,0.47170,0.96154,0.64557,0.20202,0.96154,0.67925,0.94737,0.74627,0.47475,0.90385,0.83019,0.89796,0.83929
TIMP2_MMP9,PIGR_CLIC1,0.91582,0.12121,0.98077,0.47170,0.96154,0.64557,0.20202,0.96154,0.67925,0.94737,0.74627,0.47475,0.90385,0.83019,0.89796,0.83929
TIMP2_PERM,CLIC1_PIGR,0.91582,0.08081,1.00000,0.39623,1.00000,0.61905,0.28283,0.96154,0.75472,0.95238,0.79365,0.28283,0.96154,0.75472,0.95238,0.79365
TIMP2_PERM,PIGR_CLIC1,0.91582,0.08081,1.00000,0.39623,1.00000,0.61905,0.28283,0.96154,0.75472,0.95238,0.79365,0.28283,0.96154,0.75472,0.95238,0.79365
PERM_TIMP2,CLIC1_PIGR,0.91582,0.08081,1.00000,0.39623,1.00000,0.61905,0.28283,0.96154,0.75472,0.95238,0.79365,0.28283,0.96154,0.75472,0.95238,0.79365
PERM_TIMP2,PIGR_CLIC1,0.91582,0.08081,1.00000,0.39623,1.00000,0.61905,0.28283,0.96154,0.75472,0.95238,0.79365,0.28283,0.96154,0.75472,0.95238,0.79365
Endometrial_thickness,AGRIN_PIGR,0.91494,0.09091,0.98077,0.30769,0.94118,0.58621,0.11111,0.96154,0.40385,0.91304,0.61728,0.60606,0.82692,0.92308,0.84211,0.91489
Endometrial_thickness,PIGR_AGRIN,0.91494,0.09091,0.98077,0.30769,0.94118,0.58621,0.11111,0.96154,0.40385,0.91304,0.61728,0.60606,0.82692,0.92308,0.84211,0.91489
AGRIN_CLIC1,TIMP2_KPYM,0.91219,0.08081,0.98077,0.33962,0.94737,0.59302,0.08081,0.98077,0.33962,0.94737,0.59302,0.53535,0.82692,0.90566,0.84211,0.89583
AGRIN_CLIC1,KPYM_TIMP2,0.91219,0.08081,0.98077,0.33962,0.94737,0.59302,0.08081,0.98077,0.33962,0.94737,0.59302,0.53535,0.82692,0.90566,0.84211,0.89583
TIMP2_KPYM,NGAL_PIGR,0.91219,0.15152,0.98077,0.47170,0.96154,0.64557,0.15152,0.98077,0.47170,0.96154,0.64557,0.71717,0.73077,1.00000,0.79104,1.00000
TIMP2_KPYM,CLIC1_AGRIN,0.91219,0.08081,0.98077,0.33962,0.94737,0.59302,0.08081,0.98077,0.33962,0.94737,0.59302,0.53535,0.82692,0.90566,0.84211,0.89583
TIMP2_KPYM,PIGR_NGAL,0.91219,0.15152,0.98077,0.47170,0.96154,0.64557,0.15152,0.98077,0.47170,0.96154,0.64557,0.71717,0.73077,1.00000,0.79104,1.00000
KPYM_TIMP2,NGAL_PIGR,0.91219,0.15152,0.98077,0.47170,0.96154,0.64557,0.15152,0.98077,0.47170,0.96154,0.64557,0.71717,0.73077,1.00000,0.79104,1.00000
KPYM_TIMP2,CLIC1_AGRIN,0.91219,0.08081,0.98077,0.33962,0.94737,0.59302,0.08081,0.98077,0.33962,0.94737,0.59302,0.53535,0.82692,0.90566,0.84211,0.89583
KPYM_TIMP2,PIGR_NGAL,0.91219,0.15152,0.98077,0.47170,0.96154,0.64557,0.15152,0.98077,0.47170,0.96154,0.64557,0.71717,0.73077,1.00000,0.79104,1.00000
MMP9_NGAL,TIMP2_CLIC1,0.91147,0.15152,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.44444,0.84615,0.86792,0.85185,0.86275
MMP9_NGAL,CLIC1_TIMP2,0.91147,0.15152,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.44444,0.84615,0.86792,0.85185,0.86275
TIMP2_CLIC1,NGAL_MMP9,0.91147,0.15152,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.44444,0.84615,0.86792,0.85185,0.86275
NGAL_MMP9,CLIC1_TIMP2,0.91147,0.15152,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.44444,0.84615,0.86792,0.85185,0.86275
AGRIN_TIMP2,CLIC1_PIGR,0.9111,0.09091,0.98077,0.45283,0.96000,0.63750,0.09091,0.98077,0.45283,0.96000,0.63750,0.66667,0.80769,0.96226,0.83607,0.95455
AGRIN_TIMP2,PIGR_CLIC1,0.9111,0.09091,0.98077,0.45283,0.96000,0.63750,0.09091,0.98077,0.45283,0.96000,0.63750,0.66667,0.80769,0.96226,0.83607,0.95455
TIMP2_AGRIN,CLIC1_PIGR,0.9111,0.09091,0.98077,0.45283,0.96000,0.63750,0.09091,0.98077,0.45283,0.96000,0.63750,0.66667,0.80769,0.96226,0.83607,0.95455
TIMP2_AGRIN,PIGR_CLIC1,0.9111,0.09091,0.98077,0.45283,0.96000,0.63750,0.09091,0.98077,0.45283,0.96000,0.63750,0.66667,0.80769,0.96226,0.83607,0.95455
MMP9_NGAL,TIMP2_PERM,0.90893,0.20202,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.67925,0.94737,0.74627,0.30303,0.92308,0.77358,0.91111,0.80000
MMP9_NGAL,PERM_TIMP2,0.90893,0.20202,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.67925,0.94737,0.74627,0.30303,0.92308,0.77358,0.91111,0.80000
TIMP2_PERM,MVP_NGAL,0.90893,0.14141,0.98077,0.47170,0.96154,0.64557,0.24242,0.96154,0.67925,0.94737,0.74627,0.62626,0.75000,0.90566,0.78689,0.88636
TIMP2_PERM,NGAL_MMP9,0.90893,0.20202,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.67925,0.94737,0.74627,0.30303,0.92308,0.77358,0.91111,0.80000
TIMP2_PERM,NGAL_MVP,0.90893,0.14141,0.98077,0.47170,0.96154,0.64557,0.24242,0.96154,0.67925,0.94737,0.74627,0.62626,0.75000,0.90566,0.78689,0.88636
PERM_TIMP2,MVP_NGAL,0.90893,0.14141,0.98077,0.47170,0.96154,0.64557,0.24242,0.96154,0.67925,0.94737,0.74627,0.62626,0.75000,0.90566,0.78689,0.88636
PERM_TIMP2,NGAL_MMP9,0.90893,0.20202,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.67925,0.94737,0.74627,0.30303,0.92308,0.77358,0.91111,0.80000
PERM_TIMP2,NGAL_MVP,0.90893,0.14141,0.98077,0.47170,0.96154,0.64557,0.24242,0.96154,0.67925,0.94737,0.74627,0.62626,0.75000,0.90566,0.78689,0.88636
MMP9_TIMP2,PERM_NGAL,0.90639,0.19192,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.69811,0.94872,0.75758,0.38384,0.90385,0.79245,0.89362,0.81034
MMP9_TIMP2,NGAL_PERM,0.90639,0.19192,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.69811,0.94872,0.75758,0.38384,0.90385,0.79245,0.89362,0.81034
TIMP2_MMP9,PERM_NGAL,0.90639,0.19192,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.69811,0.94872,0.75758,0.38384,0.90385,0.79245,0.89362,0.81034
TIMP2_MMP9,NGAL_PERM,0.90639,0.19192,0.98077,0.66038,0.97222,0.73913,0.22222,0.96154,0.69811,0.94872,0.75758,0.38384,0.90385,0.79245,0.89362,0.81034
AGRIN_TIMP2,KPYM_CLIC1,0.90493,0.12121,0.98077,0.43396,0.95833,0.62963,0.14141,0.96154,0.47170,0.92593,0.64103,0.52525,0.82692,0.90566,0.84211,0.89583
AGRIN_TIMP2,CLIC1_KPYM,0.90493,0.12121,0.98077,0.43396,0.95833,0.62963,0.14141,0.96154,0.47170,0.92593,0.64103,0.52525,0.82692,0.90566,0.84211,0.89583
AGRIN_PIGR,PERM_NGAL,0.90493,0.16162,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.56604,0.93750,0.68493,0.61616,0.76923,0.92453,0.80328,0.90909
AGRIN_PIGR,NGAL_PERM,0.90493,0.16162,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.56604,0.93750,0.68493,0.61616,0.76923,0.92453,0.80328,0.90909
TIMP2_AGRIN,KPYM_CLIC1,0.90493,0.12121,0.98077,0.43396,0.95833,0.62963,0.14141,0.96154,0.47170,0.92593,0.64103,0.52525,0.82692,0.90566,0.84211,0.89583
TIMP2_AGRIN,CLIC1_KPYM,0.90493,0.12121,0.98077,0.43396,0.95833,0.62963,0.14141,0.96154,0.47170,0.92593,0.64103,0.52525,0.82692,0.90566,0.84211,0.89583
PERM_NGAL,PIGR_AGRIN,0.90493,0.16162,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.56604,0.93750,0.68493,0.61616,0.76923,0.92453,0.80328,0.90909
NGAL_PERM,PIGR_AGRIN,0.90493,0.16162,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.56604,0.93750,0.68493,0.61616,0.76923,0.92453,0.80328,0.90909
AGRIN_NGAL,MMP9_CLIC1,0.90457,0.13131,0.98077,0.41509,0.95652,0.62195,0.22222,0.96154,0.58491,0.93939,0.69444,0.49495,0.80769,0.90566,0.82759,0.89362
AGRIN_NGAL,CLIC1_MMP9,0.90457,0.13131,0.98077,0.41509,0.95652,0.62195,0.22222,0.96154,0.58491,0.93939,0.69444,0.49495,0.80769,0.90566,0.82759,0.89362
MMP9_CLIC1,NGAL_AGRIN,0.90457,0.13131,0.98077,0.41509,0.95652,0.62195,0.22222,0.96154,0.58491,0.93939,0.69444,0.49495,0.80769,0.90566,0.82759,0.89362
NGAL_AGRIN,CLIC1_MMP9,0.90457,0.13131,0.98077,0.41509,0.95652,0.62195,0.22222,0.96154,0.58491,0.93939,0.69444,0.49495,0.80769,0.90566,0.82759,0.89362
MMP9_TIMP2,MVP_NGAL,0.90348,0.13131,0.98077,0.39623,0.95455,0.61446,0.18182,0.96154,0.54717,0.93548,0.67568,0.45455,0.88462,0.84906,0.88235,0.85185
MMP9_TIMP2,NGAL_MVP,0.90348,0.13131,0.98077,0.39623,0.95455,0.61446,0.18182,0.96154,0.54717,0.93548,0.67568,0.45455,0.88462,0.84906,0.88235,0.85185
TIMP2_MMP9,MVP_NGAL,0.90348,0.13131,0.98077,0.39623,0.95455,0.61446,0.18182,0.96154,0.54717,0.93548,0.67568,0.45455,0.88462,0.84906,0.88235,0.85185
TIMP2_MMP9,NGAL_MVP,0.90348,0.13131,0.98077,0.39623,0.95455,0.61446,0.18182,0.96154,0.54717,0.93548,0.67568,0.45455,0.88462,0.84906,0.88235,0.85185
AGRIN_NGAL,PERM_PIGR,0.90239,0.16162,0.98077,0.58491,0.96875,0.69863,0.16162,0.98077,0.58491,0.96875,0.69863,0.58586,0.76923,0.90566,0.80000,0.88889
AGRIN_NGAL,PIGR_PERM,0.90239,0.16162,0.98077,0.58491,0.96875,0.69863,0.16162,0.98077,0.58491,0.96875,0.69863,0.58586,0.76923,0.90566,0.80000,0.88889
PERM_PIGR,NGAL_AGRIN,0.90239,0.16162,0.98077,0.58491,0.96875,0.69863,0.16162,0.98077,0.58491,0.96875,0.69863,0.58586,0.76923,0.90566,0.80000,0.88889
NGAL_AGRIN,PIGR_PERM,0.90239,0.16162,0.98077,0.58491,0.96875,0.69863,0.16162,0.98077,0.58491,0.96875,0.69863,0.58586,0.76923,0.90566,0.80000,0.88889
AGRIN_TIMP2,TIMP2_PIGR,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
AGRIN_TIMP2,PIGR_AGRIN,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
AGRIN_TIMP2,PIGR_TIMP2,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
AGRIN_PIGR,TIMP2_AGRIN,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
AGRIN_PIGR,TIMP2_PIGR,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
AGRIN_PIGR,PIGR_TIMP2,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
TIMP2_AGRIN,PIGR_AGRIN,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
TIMP2_AGRIN,PIGR_TIMP2,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
TIMP2_PIGR,PIGR_AGRIN,0.90203,0.09091,0.98077,0.35849,0.95000,0.60000,0.11111,0.96154,0.39623,0.91304,0.60976,0.55556,0.78846,0.90566,0.81356,0.89130
AGRIN_MMP9,MMP9_TIMP2,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
AGRIN_MMP9,TIMP2_AGRIN,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
AGRIN_MMP9,TIMP2_MMP9,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
AGRIN_TIMP2,MMP9_AGRIN,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
AGRIN_TIMP2,MMP9_TIMP2,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
AGRIN_TIMP2,TIMP2_MMP9,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
MMP9_AGRIN,TIMP2_AGRIN,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
MMP9_AGRIN,TIMP2_MMP9,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
MMP9_TIMP2,TIMP2_AGRIN,0.90167,0.05051,0.98077,0.11321,0.85714,0.52041,0.10101,0.96154,0.39623,0.91304,0.60976,0.60606,0.75000,0.92453,0.79032,0.90698
AGRIN_TIMP2,TIMP2_KPYM,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
AGRIN_TIMP2,KPYM_AGRIN,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
AGRIN_TIMP2,KPYM_TIMP2,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
AGRIN_KPYM,TIMP2_AGRIN,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
AGRIN_KPYM,TIMP2_KPYM,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
AGRIN_KPYM,KPYM_TIMP2,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
TIMP2_AGRIN,KPYM_AGRIN,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
TIMP2_AGRIN,KPYM_TIMP2,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
TIMP2_KPYM,KPYM_AGRIN,0.90094,0.07071,0.98077,0.30189,0.94118,0.57955,0.09091,0.96154,0.35849,0.90476,0.59524,0.52525,0.78846,0.90566,0.81356,0.89130
AGRIN_MVP,TIMP2_KPYM,0.90058,0.10101,0.98077,0.37736,0.95238,0.60714,0.12121,0.96154,0.41509,0.91667,0.61728,0.54545,0.76923,0.88679,0.79661,0.86957
AGRIN_MVP,KPYM_TIMP2,0.90058,0.10101,0.98077,0.37736,0.95238,0.60714,0.12121,0.96154,0.41509,0.91667,0.61728,0.54545,0.76923,0.88679,0.79661,0.86957
AGRIN_NGAL,PERM_CLIC1,0.90058,0.18182,0.98077,0.52830,0.96552,0.67105,0.24242,0.96154,0.62264,0.94286,0.71429,0.42424,0.82692,0.83019,0.83019,0.82692
AGRIN_NGAL,CLIC1_PERM,0.90058,0.18182,0.98077,0.52830,0.96552,0.67105,0.24242,0.96154,0.62264,0.94286,0.71429,0.42424,0.82692,0.83019,0.83019,0.82692
MMP9_KPYM,TIMP2_CLIC1,0.90058,0.13131,0.98077,0.47170,0.96154,0.64557,0.18182,0.96154,0.50943,0.93103,0.65789,0.51515,0.84615,0.86792,0.85185,0.86275
MMP9_KPYM,CLIC1_TIMP2,0.90058,0.13131,0.98077,0.47170,0.96154,0.64557,0.18182,0.96154,0.50943,0.93103,0.65789,0.51515,0.84615,0.86792,0.85185,0.86275
TIMP2_KPYM,MVP_AGRIN,0.90058,0.10101,0.98077,0.37736,0.95238,0.60714,0.12121,0.96154,0.41509,0.91667,0.61728,0.54545,0.76923,0.88679,0.79661,0.86957
TIMP2_CLIC1,KPYM_MMP9,0.90058,0.13131,0.98077,0.47170,0.96154,0.64557,0.18182,0.96154,0.50943,0.93103,0.65789,0.51515,0.84615,0.86792,0.85185,0.86275
KPYM_MMP9,CLIC1_TIMP2,0.90058,0.13131,0.98077,0.47170,0.96154,0.64557,0.18182,0.96154,0.50943,0.93103,0.65789,0.51515,0.84615,0.86792,0.85185,0.86275
KPYM_TIMP2,MVP_AGRIN,0.90058,0.10101,0.98077,0.37736,0.95238,0.60714,0.12121,0.96154,0.41509,0.91667,0.61728,0.54545,0.76923,0.88679,0.79661,0.86957
PERM_CLIC1,NGAL_AGRIN,0.90058,0.18182,0.98077,0.52830,0.96552,0.67105,0.24242,0.96154,0.62264,0.94286,0.71429,0.42424,0.82692,0.83019,0.83019,0.82692
NGAL_AGRIN,CLIC1_PERM,0.90058,0.18182,0.98077,0.52830,0.96552,0.67105,0.24242,0.96154,0.62264,0.94286,0.71429,0.42424,0.82692,0.83019,0.83019,0.82692
AGRIN_PIGR,MMP9_NGAL,0.90022,0.14141,0.98077,0.50943,0.96429,0.66234,0.25253,0.96154,0.64151,0.94444,0.72464,0.43434,0.88462,0.77358,0.87234,0.79310
AGRIN_PIGR,NGAL_MMP9,0.90022,0.14141,0.98077,0.50943,0.96429,0.66234,0.25253,0.96154,0.64151,0.94444,0.72464,0.43434,0.88462,0.77358,0.87234,0.79310
MMP9_NGAL,PIGR_AGRIN,0.90022,0.14141,0.98077,0.50943,0.96429,0.66234,0.25253,0.96154,0.64151,0.94444,0.72464,0.43434,0.88462,0.77358,0.87234,0.79310
NGAL_MMP9,PIGR_AGRIN,0.90022,0.14141,0.98077,0.50943,0.96429,0.66234,0.25253,0.96154,0.64151,0.94444,0.72464,0.43434,0.88462,0.77358,0.87234,0.79310
Endometrial_thickness,TIMP2_NGAL,0.90015,0.17172,1.00000,0.40385,1.00000,0.62651,0.19192,0.96154,0.48077,0.92593,0.64935,0.38384,0.86538,0.82692,0.86000,0.83333
Endometrial_thickness,NGAL_TIMP2,0.90015,0.17172,1.00000,0.40385,1.00000,0.62651,0.19192,0.96154,0.48077,0.92593,0.64935,0.38384,0.86538,0.82692,0.86000,0.83333
