Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
COMD5_HUMAN,0.61,0.577,0.66,0.981,0.075,0.218,0.05253,52,53,105
PEF1_HUMAN,0.61,0.846,0.415,0.962,0.132,-0.197,0.051755,52,53,105
RUVB1_HUMAN,0.61,0.269,1.0,0.981,0.019,0.245,0.053316,52,53,105
CUL3_HUMAN,0.609,0.385,0.906,0.962,0.057,0.214,0.054112,52,53,105
PROM1_HUMAN,0.608,0.923,0.264,0.981,0.151,-0.77,0.057393,52,53,105
VTDB_HUMAN,0.608,0.596,0.679,0.962,0.057,-0.174,0.057814,52,53,105
BIP_HUMAN,0.608,0.346,0.849,0.981,0.208,0.303,0.056558,52,53,105
S10A4_HUMAN,0.608,0.481,0.868,0.981,0.038,-0.291,0.056557,52,53,105
SERPH_HUMAN,0.608,0.885,0.302,0.962,0.075,-0.374,0.057393,52,53,105
RL14_HUMAN,0.608,0.308,0.925,0.962,0.057,0.291,0.057393,52,53,105
IL16_HUMAN,0.608,0.462,0.868,1.0,0.0,-0.321,0.057393,52,53,105
MIC60_HUMAN,0.608,0.577,0.679,0.981,0.038,-0.274,0.055733,52,53,105
MAP1S_HUMAN,0.608,0.308,0.925,1.0,0.038,0.254,0.056558,52,53,105
DJC10_HUMAN,0.608,0.327,0.943,0.962,0.075,0.426,0.055733,52,53,105
DCNL1_HUMAN,0.608,0.327,0.981,0.981,0.075,0.282,0.055733,52,53,105
VCIP1_HUMAN,0.608,0.538,0.736,0.962,0.075,0.188,0.056558,52,53,105
VTA1_HUMAN,0.608,0.692,0.604,0.962,0.057,0.203,0.057393,52,53,105
HINT3_HUMAN,0.608,0.385,0.906,0.962,0.038,0.219,0.056558,52,53,105
VPS4A_HUMAN,0.608,0.519,0.736,0.981,0.075,-0.26,0.056558,52,53,105
KVD21_HUMAN,0.607,0.615,0.585,0.981,0.113,-0.558,0.059095,52,53,105
LV151_HUMAN,0.607,0.808,0.453,0.962,0.132,-0.503,0.059962,52,53,105
GTR1_HUMAN,0.607,0.615,0.585,0.962,0.094,-0.562,0.059962,52,53,105
ROCK1_HUMAN,0.607,0.654,0.566,0.962,0.057,0.239,0.059962,52,53,105
F1142_HUMAN,0.607,0.269,0.981,0.981,0.132,0.272,0.059095,52,53,105
MRE11_HUMAN,0.606,0.635,0.604,0.981,0.019,-0.284,0.060839,52,53,105
ADPRH_HUMAN,0.606,0.404,0.887,1.0,0.094,0.243,0.062173,52,53,105
HDAC1_HUMAN,0.606,0.481,0.792,1.0,0.019,0.277,0.061726,52,53,105
RAB35_HUMAN,0.606,0.538,0.679,1.0,0.0,0.159,0.060838,52,53,105
PKN1_HUMAN,0.606,0.423,0.906,0.962,0.057,0.282,0.060839,52,53,105
EXOS8_HUMAN,0.606,0.385,0.868,1.0,0.019,0.273,0.060398,52,53,105
AIF1L_HUMAN,0.606,0.442,0.83,0.962,0.132,0.418,0.061726,52,53,105
NAGK_HUMAN,0.606,0.519,0.736,0.962,0.151,0.234,0.060839,52,53,105
CBG_HUMAN,0.605,0.442,0.849,0.962,0.057,-0.313,0.063991,52,53,105
6PGL_HUMAN,0.605,0.269,1.0,0.962,0.132,0.239,0.064917,52,53,105
MDHM_HUMAN,0.605,0.788,0.396,0.962,0.094,0.335,0.063534,52,53,105
CORO7_HUMAN,0.605,0.442,0.868,0.962,0.038,0.325,0.064454,52,53,105
C19L1_HUMAN,0.605,0.462,0.774,1.0,0.019,0.169,0.063991,52,53,105
CHM1B_HUMAN,0.605,0.904,0.34,0.962,0.226,-0.354,0.064454,52,53,105
TPRKB_HUMAN,0.605,0.365,0.887,0.981,0.057,0.263,0.063534,52,53,105
NEMO_HUMAN,0.605,0.365,0.906,0.962,0.038,0.31,0.063991,52,53,105
SPAG7_HUMAN,0.604,0.404,0.849,1.0,0.0,0.334,0.065384,52,53,105
RTN3_HUMAN,0.604,0.481,0.736,0.962,0.075,0.346,0.067279,52,53,105
IGHG2_HUMAN,0.604,0.596,0.66,0.962,0.038,-0.288,0.067279,52,53,105
S10A9_HUMAN,0.604,0.346,0.849,0.981,0.057,0.468,0.067279,52,53,105
PLP2_HUMAN,0.604,0.615,0.623,0.962,0.019,-0.268,0.066326,52,53,105
COTL1_HUMAN,0.604,0.481,0.792,0.981,0.019,0.185,0.065384,52,53,105
RCN1_HUMAN,0.604,0.558,0.66,0.981,0.075,0.393,0.067279,52,53,105
QRIC1_HUMAN,0.604,0.615,0.623,0.981,0.057,0.327,0.067276,52,53,105
NELFD_HUMAN,0.604,0.442,0.774,0.962,0.057,0.258,0.065384,52,53,105
PURB_HUMAN,0.604,0.538,0.717,0.981,0.019,-0.277,0.067279,52,53,105
LSM4_HUMAN,0.604,0.212,0.981,1.0,0.057,0.353,0.067279,52,53,105
MATN2_HUMAN,0.603,0.442,0.906,1.0,0.0,0.562,0.070207,52,53,105
PRP4_HUMAN,0.603,0.423,0.83,0.962,0.094,0.243,0.068244,52,53,105
U3IP2_HUMAN,0.603,0.365,0.868,0.962,0.113,0.369,0.070207,52,53,105
PLMN_HUMAN,0.603,0.462,0.792,0.962,0.057,-0.332,0.070207,52,53,105
KAPCB_HUMAN,0.603,0.673,0.566,0.981,0.038,-0.171,0.070207,52,53,105
IF4A2_HUMAN,0.603,0.673,0.604,1.0,0.0,-0.29,0.068243,52,53,105
NUP93_HUMAN,0.603,0.269,0.962,1.0,0.038,0.254,0.06922,52,53,105
SPRE_HUMAN,0.602,0.365,0.887,0.981,0.019,0.314,0.073238,52,53,105
EPHB4_HUMAN,0.602,0.481,0.792,0.962,0.057,0.264,0.071205,52,53,105
MMRN1_HUMAN,0.602,0.558,0.642,1.0,0.019,0.309,0.072216,52,53,105
VAC14_HUMAN,0.602,0.596,0.698,1.0,0.0,-0.257,0.071205,52,53,105
IF16_HUMAN,0.602,0.308,0.943,1.0,0.019,-0.438,0.072216,52,53,105
ELMO2_HUMAN,0.602,0.635,0.604,1.0,0.038,-0.263,0.071205,52,53,105
ERBIN_HUMAN,0.602,0.25,1.0,0.981,0.019,0.243,0.072216,52,53,105
THIC_HUMAN,0.602,0.327,0.962,0.962,0.094,0.342,0.071205,52,53,105
RTN4_HUMAN,0.602,0.673,0.585,0.962,0.057,-0.288,0.072216,52,53,105
LV460_HUMAN,0.601,0.865,0.34,0.962,0.151,-0.527,0.076375,52,53,105
K1C10_HUMAN,0.601,0.385,0.83,0.962,0.057,-0.24,0.076375,52,53,105
LTOR5_HUMAN,0.601,0.731,0.453,0.981,0.057,0.301,0.076375,52,53,105
CD14_HUMAN,0.601,0.558,0.66,0.962,0.075,0.185,0.076374,52,53,105
TPR_HUMAN,0.601,0.288,0.906,0.962,0.132,0.335,0.076375,52,53,105
HNRH3_HUMAN,0.601,0.615,0.679,0.981,0.057,-0.246,0.076375,52,53,105
CRIP1_HUMAN,0.601,0.481,0.868,1.0,0.0,0.085,0.074271,52,53,105
DCAF7_HUMAN,0.601,0.615,0.604,0.962,0.057,0.214,0.075317,52,53,105
FSTL1_HUMAN,0.601,0.462,0.849,0.981,0.038,0.372,0.075317,52,53,105
P4R3A_HUMAN,0.601,0.558,0.66,0.981,0.057,0.266,0.074271,52,53,105
MESH1_HUMAN,0.601,0.404,0.83,1.0,0.0,-0.299,0.076375,52,53,105
ERAP1_HUMAN,0.601,0.365,0.868,1.0,0.0,-0.177,0.075317,52,53,105
CAB39_HUMAN,0.601,0.654,0.585,1.0,0.019,0.218,0.074271,52,53,105
HV434_HUMAN,0.6,0.865,0.34,0.981,0.113,-0.365,0.078526,52,53,105
CMGA_HUMAN,0.6,0.346,0.925,0.962,0.038,1.013,0.077444,52,53,105
PP2BB_HUMAN,0.6,0.635,0.547,0.981,0.075,0.19,0.078526,52,53,105
UBA1_HUMAN,0.6,0.365,0.849,0.962,0.057,0.204,0.078526,52,53,105
AKT1_HUMAN,0.6,0.519,0.774,0.962,0.057,0.217,0.078526,52,53,105
UBE3A_HUMAN,0.6,0.385,0.887,0.981,0.038,0.27,0.077444,52,53,105
PTPA_HUMAN,0.6,0.288,0.962,0.962,0.057,0.214,0.078526,52,53,105
EFNB1_HUMAN,0.6,0.481,0.774,1.0,0.0,0.29,0.077444,52,53,105
VPS8_HUMAN,0.6,0.596,0.623,1.0,0.0,-0.128,0.077444,52,53,105
PRP16_HUMAN,0.6,0.827,0.472,0.981,0.019,-0.148,0.077444,52,53,105
LIMA1_HUMAN,0.6,0.5,0.717,0.981,0.075,0.266,0.078525,52,53,105
ALBU_HUMAN,0.599,0.481,0.736,0.981,0.057,-0.193,0.07962,52,53,105
LSM8_HUMAN,0.599,0.538,0.66,0.962,0.075,0.271,0.080727,52,53,105
CFAI_HUMAN,0.599,0.558,0.66,0.962,0.075,-0.21,0.081846,52,53,105
LA_HUMAN,0.599,0.346,0.887,0.962,0.075,0.261,0.07962,52,53,105
CAZA2_HUMAN,0.599,0.712,0.491,0.981,0.094,0.261,0.082409,52,53,105
TMEDA_HUMAN,0.599,0.615,0.642,1.0,0.0,-0.184,0.080727,52,53,105
PI16_HUMAN,0.599,0.519,0.698,1.0,0.038,0.269,0.07962,52,53,105
TBC17_HUMAN,0.599,0.558,0.698,0.962,0.057,-0.254,0.080726,52,53,105
BIN2_HUMAN,0.599,0.712,0.509,1.0,0.019,0.277,0.07962,52,53,105
HV103_HUMAN,0.598,0.385,0.868,0.981,0.019,-0.233,0.084122,52,53,105
RIMC1_HUMAN,0.598,0.442,0.811,0.962,0.038,0.214,0.082977,52,53,105
APOB_HUMAN,0.598,0.308,0.943,1.0,0.0,0.276,0.082977,52,53,105
HLAA_HUMAN,0.598,0.596,0.66,1.0,0.057,0.265,0.083547,52,53,105
PFKAL_HUMAN,0.598,0.442,0.792,0.962,0.094,0.377,0.082977,52,53,105
AP4A_HUMAN,0.598,0.442,0.83,0.962,0.057,0.265,0.082977,52,53,105
HGFA_HUMAN,0.598,0.288,0.943,1.0,0.019,0.221,0.085278,52,53,105
DPYL3_HUMAN,0.598,0.5,0.755,1.0,0.0,-0.466,0.085279,52,53,105
DCTN1_HUMAN,0.598,0.327,0.887,0.981,0.057,0.258,0.085279,52,53,105
SH3L1_HUMAN,0.597,0.481,0.811,1.0,0.0,-0.182,0.087631,52,53,105
ANXA2_HUMAN,0.597,0.481,0.755,1.0,0.075,-0.345,0.088827,52,53,105
MMP7_HUMAN,0.597,0.731,0.491,1.0,0.0,0.43,0.087631,52,53,105
ACLY_HUMAN,0.597,0.346,1.0,1.0,0.019,0.293,0.088827,52,53,105
TAB1_HUMAN,0.597,0.385,0.83,0.962,0.075,0.198,0.088827,52,53,105
TENS3_HUMAN,0.597,0.327,0.925,0.981,0.075,0.299,0.088826,52,53,105
SCRN2_HUMAN,0.597,0.558,0.642,0.962,0.019,-0.223,0.088827,52,53,105
VPS25_HUMAN,0.597,0.385,0.868,0.962,0.057,0.206,0.087631,52,53,105
GPC5C_HUMAN,0.597,0.942,0.302,0.981,0.245,-0.543,0.086448,52,53,105
FPRP_HUMAN,0.597,0.462,0.792,1.0,0.0,-0.282,0.088827,52,53,105
AATM_HUMAN,0.596,0.596,0.642,0.981,0.057,-0.261,0.091257,52,53,105
GNAI3_HUMAN,0.596,0.423,0.755,0.962,0.094,-0.287,0.091257,52,53,105
RET1_HUMAN,0.596,0.327,0.943,1.0,0.0,-0.538,0.091257,52,53,105
TRY3_HUMAN,0.596,0.346,0.943,0.962,0.075,-0.17,0.090035,52,53,105
LAP2A_HUMAN,0.596,0.654,0.566,0.962,0.057,0.219,0.090035,52,53,105
ARRB1_HUMAN,0.596,0.654,0.642,0.962,0.113,-0.264,0.091257,52,53,105
ITPK1_HUMAN,0.596,0.404,0.868,0.962,0.057,0.324,0.090035,52,53,105
RAE1L_HUMAN,0.596,0.558,0.642,0.962,0.094,0.262,0.091257,52,53,105
PXDC2_HUMAN,0.596,0.635,0.66,0.962,0.019,0.111,0.090035,52,53,105
LMO7_HUMAN,0.596,0.635,0.679,0.962,0.057,0.261,0.090035,52,53,105
ARC1A_HUMAN,0.596,0.346,0.887,1.0,0.094,0.224,0.091257,52,53,105
ENOF1_HUMAN,0.596,0.346,0.925,0.962,0.113,0.389,0.091257,52,53,105
PRPK_HUMAN,0.596,0.288,0.943,0.962,0.094,0.263,0.091257,52,53,105
NCOA5_HUMAN,0.596,0.404,0.811,0.981,0.075,-0.305,0.091257,52,53,105
NDRG3_HUMAN,0.596,0.442,0.83,0.981,0.057,0.228,0.090035,52,53,105
CO4_BOVIN,0.595,0.519,0.717,1.0,0.0,0.094,0.093741,52,53,105
TNPO2_HUMAN,0.595,0.615,0.623,0.962,0.038,-0.232,0.092493,52,53,105
LAMP2_HUMAN,0.595,0.615,0.585,0.962,0.113,0.203,0.093115,52,53,105
PLST_HUMAN,0.595,0.385,0.887,0.962,0.094,0.228,0.093115,52,53,105
APOC4_HUMAN,0.595,0.5,0.736,0.962,0.208,0.509,0.095004,52,53,105
SRSF6_HUMAN,0.595,0.712,0.566,0.962,0.038,-0.188,0.095639,52,53,105
NPC2_HUMAN,0.595,0.846,0.377,0.962,0.075,0.289,0.093741,52,53,105
RHG17_HUMAN,0.595,0.308,0.943,0.981,0.057,0.234,0.093741,52,53,105
PLGT2_HUMAN,0.595,0.577,0.717,1.0,0.0,0.16,0.093741,52,53,105
GPD1L_HUMAN,0.595,0.538,0.679,0.962,0.038,0.222,0.092493,52,53,105
RMXL1_HUMAN,0.595,0.423,0.792,0.981,0.057,0.24,0.093741,52,53,105
PDS5B_HUMAN,0.595,0.904,0.321,0.981,0.189,-0.263,0.092493,52,53,105
ECHD1_HUMAN,0.595,0.5,0.774,0.962,0.019,0.217,0.095004,52,53,105
NUDT4_HUMAN,0.595,0.365,0.887,0.962,0.038,0.264,0.095004,52,53,105
PPIE_HUMAN,0.595,0.385,0.83,0.962,0.094,0.275,0.095004,52,53,105
PSIP1_HUMAN,0.594,0.577,0.66,0.981,0.038,0.276,0.098872,52,53,105
CO1A1_HUMAN,0.594,0.654,0.547,0.962,0.057,0.281,0.096279,52,53,105
UCHL1_HUMAN,0.594,0.519,0.887,1.0,0.0,-0.473,0.096279,52,53,105
HLAC_HUMAN,0.594,0.288,0.925,0.981,0.038,0.331,0.096279,52,53,105
MBL2_HUMAN,0.594,0.654,0.547,0.962,0.17,0.497,0.098872,52,53,105
UB2V1_HUMAN,0.594,0.404,0.887,0.962,0.057,0.221,0.098872,52,53,105
HERC4_HUMAN,0.594,0.346,0.925,0.962,0.019,0.181,0.097569,52,53,105
SRRM1_HUMAN,0.594,0.596,0.585,1.0,0.094,0.318,0.097569,52,53,105
PPWD1_HUMAN,0.594,0.596,0.623,0.962,0.019,-0.167,0.098218,52,53,105
EVL_HUMAN,0.594,0.5,0.792,0.981,0.038,-0.28,0.098872,52,53,105
HV118_HUMAN,0.593,0.308,0.981,1.0,0.019,-0.307,0.10152,52,53,105
NUD14_HUMAN,0.593,0.423,0.849,0.981,0.038,0.282,0.10152,52,53,105
ATX3_HUMAN,0.593,0.423,0.849,0.981,0.057,0.249,0.10152,52,53,105
CNDP2_HUMAN,0.593,0.25,0.981,1.0,0.019,0.324,0.100189,52,53,105
WASH6_HUMAN,0.593,0.385,0.792,0.962,0.038,0.181,0.10219,52,53,105
CATD_HUMAN,0.592,0.288,0.925,0.962,0.019,-0.265,0.105598,52,53,105
HS71A_HUMAN;HS71B_HUMAN,0.592,0.808,0.377,0.962,0.132,-0.179,0.104224,52,53,105
BD1L1_HUMAN,0.592,0.308,0.943,0.981,0.075,0.282,0.104223,52,53,105
UBCP1_HUMAN,0.592,0.442,0.792,0.981,0.094,0.177,0.104224,52,53,105
CMBL_HUMAN,0.592,0.538,0.698,1.0,0.0,-0.355,0.105598,52,53,105
RAB3D_HUMAN,0.591,0.442,0.811,0.981,0.094,0.289,0.106984,52,53,105
RASK_HUMAN,0.591,0.327,0.925,0.962,0.038,0.171,0.110517,52,53,105
LV208_HUMAN,0.591,0.462,0.774,0.962,0.057,-0.322,0.108387,52,53,105
FIBB_HUMAN,0.591,0.365,0.849,0.962,0.075,-0.391,0.106985,52,53,105
RFA2_HUMAN,0.591,0.712,0.509,0.981,0.057,0.233,0.106985,52,53,105
PPIB_HUMAN,0.591,0.769,0.415,0.962,0.151,0.297,0.109803,52,53,105
THTM_HUMAN,0.591,0.442,0.83,1.0,0.0,-0.198,0.106985,52,53,105
MK09_HUMAN,0.591,0.442,0.792,0.981,0.113,0.261,0.106985,52,53,105
UBP7_HUMAN,0.591,0.404,0.83,1.0,0.019,0.177,0.108387,52,53,105
SNX27_HUMAN,0.591,0.423,0.811,0.962,0.019,0.193,0.106985,52,53,105
KAT3_HUMAN,0.591,0.596,0.642,1.0,0.0,-0.221,0.106985,52,53,105
IPYR2_HUMAN,0.591,0.731,0.472,0.962,0.057,0.189,0.109804,52,53,105
ACSA_HUMAN,0.591,0.596,0.623,0.962,0.038,0.172,0.108387,52,53,105
EP15R_HUMAN,0.591,0.25,0.943,0.981,0.094,0.241,0.108387,52,53,105
RAB23_HUMAN,0.591,0.615,0.623,0.981,0.038,-0.326,0.106985,52,53,105
HV551_HUMAN,0.59,0.538,0.717,0.981,0.038,-0.211,0.114142,52,53,105
KV108_HUMAN,0.59,0.269,0.962,0.962,0.094,-0.32,0.112681,52,53,105
APOL1_HUMAN,0.59,0.269,0.925,1.0,0.057,0.29,0.114142,52,53,105
C1QB_HUMAN,0.59,0.462,0.83,0.962,0.019,0.183,0.114142,52,53,105
PPBT_HUMAN,0.59,0.423,0.811,1.0,0.0,0.465,0.111956,52,53,105
NUP62_HUMAN,0.59,0.308,0.906,0.981,0.057,0.294,0.111956,52,53,105
DHB4_HUMAN,0.59,0.423,0.774,0.962,0.057,0.274,0.114142,52,53,105
SEPT2_HUMAN,0.59,0.596,0.623,0.962,0.057,-0.222,0.111235,52,53,105
AMPD2_HUMAN,0.59,0.75,0.509,1.0,0.0,-0.165,0.114142,52,53,105
SCFD1_HUMAN,0.59,0.385,0.868,0.962,0.094,0.27,0.112681,52,53,105
UBXN6_HUMAN,0.59,0.519,0.66,0.962,0.057,-0.268,0.111956,52,53,105
ATIF1_HUMAN,0.59,0.462,0.736,0.962,0.075,-0.279,0.112681,52,53,105
HV428_HUMAN,0.589,0.308,0.906,0.962,0.075,-0.341,0.117108,52,53,105
FA12_HUMAN,0.589,0.519,0.811,1.0,0.0,-0.324,0.118614,52,53,105
NID1_HUMAN,0.589,0.5,0.736,0.962,0.113,0.267,0.118613,52,53,105
HPCL1_HUMAN,0.589,0.731,0.472,0.962,0.019,-0.151,0.118614,52,53,105
DCTD_HUMAN,0.589,0.346,0.925,0.962,0.113,0.266,0.117108,52,53,105
UBXN1_HUMAN,0.589,0.365,0.906,0.981,0.038,0.267,0.118614,52,53,105
SF3A3_HUMAN,0.589,0.442,0.774,0.962,0.038,0.216,0.117108,52,53,105
S10AG_HUMAN,0.589,0.423,0.887,1.0,0.0,-0.284,0.115617,52,53,105
RTF2_HUMAN,0.589,0.365,0.83,0.962,0.038,0.244,0.117108,52,53,105
TB182_HUMAN,0.589,0.404,0.849,0.962,0.075,0.312,0.118614,52,53,105
CSN7A_HUMAN,0.589,0.596,0.679,0.962,0.038,-0.141,0.115617,52,53,105
SNUT1_HUMAN,0.588,0.25,0.943,1.0,0.075,0.236,0.121669,52,53,105
KV320_HUMAN,0.588,0.269,0.925,1.0,0.057,-0.31,0.12167,52,53,105
APOE_HUMAN,0.588,0.635,0.604,0.981,0.094,0.223,0.120134,52,53,105
ARGI1_HUMAN,0.588,0.538,0.736,0.962,0.019,-0.278,0.120134,52,53,105
T22D1_HUMAN,0.588,0.365,0.868,1.0,0.0,-0.327,0.120134,52,53,105
WDR48_HUMAN,0.588,0.269,0.981,1.0,0.019,0.168,0.12167,52,53,105
ANFY1_HUMAN,0.588,0.577,0.66,1.0,0.0,-0.242,0.120134,52,53,105
SHPK_HUMAN,0.588,0.365,0.849,0.962,0.019,-0.243,0.120133,52,53,105
RALY_HUMAN,0.588,0.442,0.755,0.981,0.075,0.255,0.120134,52,53,105
TXNL1_HUMAN,0.587,0.365,0.925,0.962,0.094,0.27,0.12637,52,53,105
NQO2_HUMAN,0.587,0.462,0.736,1.0,0.075,-0.348,0.123221,52,53,105
TIF1B_HUMAN,0.587,0.365,0.83,1.0,0.0,0.212,0.123221,52,53,105
MFGM_HUMAN,0.587,0.769,0.415,0.962,0.057,0.43,0.12637,52,53,105
SF3A2_HUMAN,0.587,0.404,0.83,1.0,0.019,0.213,0.123221,52,53,105
DDB1_HUMAN,0.587,0.519,0.698,0.962,0.057,0.174,0.12637,52,53,105
CANB1_HUMAN,0.587,0.231,0.962,0.962,0.094,0.239,0.123221,52,53,105
SMYD5_HUMAN,0.587,0.558,0.698,0.962,0.057,0.141,0.12322,52,53,105
SMRD2_HUMAN,0.587,0.423,0.811,0.981,0.075,0.329,0.12637,52,53,105
CNOT2_HUMAN,0.587,0.654,0.566,0.981,0.057,0.197,0.123221,52,53,105
AAKG2_HUMAN,0.587,0.288,0.925,0.962,0.075,0.154,0.124788,52,53,105
HTSF1_HUMAN,0.586,0.308,0.887,0.981,0.057,0.209,0.127968,52,53,105
HPTR_HUMAN,0.586,0.615,0.585,0.962,0.113,0.359,0.13121,52,53,105
KAP0_HUMAN,0.586,0.308,0.943,0.962,0.094,0.214,0.130393,52,53,105
ECI1_HUMAN,0.586,0.365,0.811,0.981,0.075,-0.308,0.127968,52,53,105
PLEC_HUMAN,0.586,0.769,0.415,0.962,0.113,-0.263,0.127967,52,53,105
NGAL_HUMAN,0.586,0.635,0.585,1.0,0.0,-0.523,0.13121,52,53,105
QNG1_HUMAN,0.586,0.423,0.83,0.962,0.038,0.173,0.129581,52,53,105
HDGR2_HUMAN,0.586,0.308,0.887,0.962,0.057,0.277,0.129581,52,53,105
RB6I2_HUMAN,0.586,0.25,0.962,0.962,0.038,0.252,0.127968,52,53,105
CUTC_HUMAN,0.586,0.385,0.811,0.962,0.094,-0.211,0.129581,52,53,105
CHMP3_HUMAN,0.586,0.423,0.792,0.981,0.057,0.196,0.127968,52,53,105
OARD1_HUMAN,0.586,0.385,0.906,1.0,0.0,0.145,0.127968,52,53,105
RFA1_HUMAN,0.585,0.25,0.981,0.962,0.038,0.201,0.134516,52,53,105
PTGDS_HUMAN,0.585,0.635,0.623,1.0,0.0,-0.144,0.132855,52,53,105
DHX9_HUMAN,0.585,0.519,0.679,1.0,0.0,0.166,0.132855,52,53,105
VA0D1_HUMAN,0.585,0.5,0.679,0.962,0.094,0.267,0.134516,52,53,105
PDE12_HUMAN,0.585,0.327,0.981,0.962,0.057,0.22,0.134516,52,53,105
SNX18_HUMAN,0.585,0.635,0.547,0.962,0.132,-0.245,0.136193,52,53,105
CLCC1_HUMAN,0.585,0.577,0.623,1.0,0.0,-0.185,0.133683,52,53,105
OSBL9_HUMAN,0.585,0.423,0.792,1.0,0.075,0.169,0.136192,52,53,105
MINT_HUMAN,0.585,0.404,0.792,0.981,0.038,0.162,0.136193,52,53,105
NTPCR_HUMAN,0.585,0.481,0.811,1.0,0.0,0.09,0.136193,52,53,105
LV319_HUMAN,0.584,0.442,0.717,0.981,0.038,-0.269,0.137886,52,53,105
IGHG4_HUMAN,0.584,0.327,0.906,0.962,0.075,-0.193,0.139594,52,53,105
THIL_HUMAN,0.584,0.519,0.66,0.962,0.113,-0.297,0.140455,52,53,105
DEK_HUMAN,0.584,0.558,0.604,1.0,0.094,0.266,0.137886,52,53,105
RAP1A_HUMAN,0.584,0.654,0.528,0.962,0.075,-0.133,0.139595,52,53,105
CYC_HUMAN,0.584,0.423,0.774,0.962,0.132,0.304,0.137036,52,53,105
GALK2_HUMAN,0.584,0.346,0.962,0.962,0.038,0.239,0.139595,52,53,105
MSPD2_HUMAN,0.584,0.404,0.887,1.0,0.019,0.224,0.139595,52,53,105
AIDA_HUMAN,0.584,0.423,0.792,1.0,0.0,0.2,0.139595,52,53,105
GPC4_HUMAN,0.583,0.5,0.774,1.0,0.0,0.382,0.14132,52,53,105
AP2A2_HUMAN,0.583,0.423,0.774,1.0,0.0,0.186,0.14482,52,53,105
GMPR1_HUMAN,0.583,0.577,0.717,1.0,0.0,-0.315,0.14482,52,53,105
CETN2_HUMAN,0.583,0.481,0.774,1.0,0.0,0.24,0.143062,52,53,105
AK1C3_HUMAN,0.583,0.404,0.868,1.0,0.0,0.259,0.14482,52,53,105
CPSF1_HUMAN,0.583,0.519,0.736,0.962,0.019,0.16,0.14132,52,53,105
PCID2_HUMAN,0.583,0.288,0.943,1.0,0.0,0.155,0.14482,52,53,105
MAP1A_HUMAN,0.583,0.346,1.0,1.0,0.0,0.344,0.142188,52,53,105
PALLD_HUMAN,0.583,0.558,0.642,1.0,0.0,-0.318,0.14132,52,53,105
CPNE2_HUMAN,0.583,0.615,0.642,1.0,0.0,-0.139,0.14132,52,53,105
FUMH_HUMAN,0.582,0.423,0.792,0.962,0.075,0.23,0.148385,52,53,105
PHKG2_HUMAN,0.582,0.385,0.925,0.981,0.057,0.249,0.148386,52,53,105
CADH2_HUMAN,0.582,0.481,0.811,1.0,0.0,-0.109,0.150194,52,53,105
RRAS2_HUMAN,0.582,0.462,0.698,0.962,0.113,-0.404,0.150193,52,53,105
DOCK1_HUMAN,0.582,0.538,0.679,0.962,0.094,-0.216,0.150194,52,53,105
FCN2_HUMAN,0.582,0.923,0.264,0.962,0.113,0.385,0.148386,52,53,105
FIP1_HUMAN,0.582,0.231,0.981,0.981,0.038,0.262,0.150194,52,53,105
CD109_HUMAN,0.582,0.558,0.66,1.0,0.057,-0.454,0.146595,52,53,105
TSNAX_HUMAN,0.582,0.346,0.868,0.981,0.019,0.186,0.150194,52,53,105
JAM1_HUMAN,0.582,0.654,0.585,0.962,0.057,0.125,0.146595,52,53,105
FLNA_HUMAN,0.581,0.212,0.981,1.0,0.057,-0.232,0.15386,52,53,105
AP1S1_HUMAN,0.581,0.385,0.868,0.981,0.094,0.204,0.152019,52,53,105
SMAD4_HUMAN,0.581,0.654,0.528,0.981,0.038,0.127,0.15386,52,53,105
LCP2_HUMAN,0.581,0.481,0.811,1.0,0.038,0.245,0.155719,52,53,105
PTPRS_HUMAN,0.581,0.423,0.774,0.962,0.075,-0.249,0.152018,52,53,105
AR6P4_HUMAN,0.581,0.596,0.585,0.962,0.057,0.261,0.152018,52,53,105
PEPL1_HUMAN,0.581,0.577,0.585,0.962,0.094,0.186,0.153859,52,53,105
STAM1_HUMAN,0.581,0.327,0.906,0.981,0.057,0.229,0.152018,52,53,105
AP2M1_HUMAN,0.581,0.346,0.811,1.0,0.0,0.177,0.153859,52,53,105
PPIL3_HUMAN,0.581,0.596,0.642,1.0,0.0,-0.162,0.155719,52,53,105
HEXI1_HUMAN,0.58,0.308,0.925,1.0,0.038,0.356,0.157594,52,53,105
CFAD_HUMAN,0.58,0.346,0.887,0.981,0.038,-0.256,0.157594,52,53,105
FAAA_HUMAN,0.58,0.327,0.868,0.981,0.019,-0.157,0.157594,52,53,105
MYO1E_HUMAN,0.58,0.538,0.698,0.962,0.019,0.146,0.157594,52,53,105
OSTF1_HUMAN,0.58,0.404,0.83,0.962,0.057,0.213,0.159485,52,53,105
DLG3_HUMAN,0.58,0.288,0.925,1.0,0.0,0.146,0.156653,52,53,105
TMED9_HUMAN,0.58,0.577,0.642,0.962,0.057,-0.115,0.157594,52,53,105
ARHGC_HUMAN,0.58,0.538,0.642,0.962,0.019,-0.142,0.157589,52,53,105
CO3A1_HUMAN,0.579,0.673,0.509,0.962,0.208,0.339,0.163323,52,53,105
ITB2_HUMAN,0.579,0.481,0.774,1.0,0.0,0.204,0.161396,52,53,105
