Biomarker_1,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
CDN2C_RTKN,0.98164,0.28283,0.97872,0.94118,0.97959,0.93878,0.48485,0.95745,0.96078,0.96078,0.95745,0.28283,0.97872,0.94118,0.97959,0.93878
RTKN_CDN2C,0.98164,0.28283,0.97872,0.94118,0.97959,0.93878,0.48485,0.95745,0.96078,0.96078,0.95745,0.28283,0.97872,0.94118,0.97959,0.93878
RTKN_E41L3,0.98157,0.25253,0.98000,0.92157,0.97917,0.92453,0.25253,0.98000,0.92157,0.97917,0.92453,0.25253,0.98000,0.92157,0.97917,0.92453
E41L3_RTKN,0.98157,0.25253,0.98000,0.92157,0.97917,0.92453,0.25253,0.98000,0.92157,0.97917,0.92453,0.25253,0.98000,0.92157,0.97917,0.92453
AL1A2_SYTC,0.98155,0.21212,0.96552,0.91228,0.96296,0.91803,0.32323,0.94828,0.92982,0.94643,0.93220,0.53535,0.91379,0.96491,0.91667,0.96364
SYTC_AL1A2,0.98155,0.21212,0.96552,0.91228,0.96296,0.91803,0.32323,0.94828,0.92982,0.94643,0.93220,0.53535,0.91379,0.96491,0.91667,0.96364
MD2L1_CNRP1,0.98151,0.13131,0.98214,0.80357,0.97826,0.83333,0.30303,0.94643,0.92857,0.94545,0.92982,0.36364,0.92857,0.96429,0.93103,0.96296
CNRP1_MD2L1,0.98151,0.13131,0.98214,0.80357,0.97826,0.83333,0.30303,0.94643,0.92857,0.94545,0.92982,0.36364,0.92857,0.96429,0.93103,0.96296
PGS2_IDI1,0.9815,0.14141,0.98246,0.80000,0.97778,0.83582,0.39394,0.94737,0.96364,0.94643,0.96429,0.39394,0.94737,0.96364,0.94643,0.96429
IDI1_PGS2,0.9815,0.14141,0.98246,0.80000,0.97778,0.83582,0.39394,0.94737,0.96364,0.94643,0.96429,0.39394,0.94737,0.96364,0.94643,0.96429
VINEX_GFPT1,0.98148,0.06061,0.98113,0.67273,0.97368,0.74286,0.25253,0.96226,0.87273,0.96000,0.87931,0.42424,0.94340,0.96364,0.94643,0.96154
PRIO_ESRP1,0.98148,0.24242,0.98039,0.87037,0.97917,0.87719,0.39394,0.96078,0.96296,0.96296,0.96078,0.39394,0.96078,0.96296,0.96296,0.96078
EGLN_MSTO1,0.98148,0.17172,0.98148,0.79592,0.97500,0.84127,0.23232,0.96296,0.87755,0.95556,0.89655,0.71717,0.88889,0.97959,0.88889,0.97959
KAP3_DPP3,0.98148,0.25253,0.98113,0.89091,0.98000,0.89655,0.25253,0.98113,0.89091,0.98000,0.89655,0.25253,0.98113,0.89091,0.98000,0.89655
GFPT1_VINEX,0.98148,0.06061,0.98113,0.67273,0.97368,0.74286,0.25253,0.96226,0.87273,0.96000,0.87931,0.42424,0.94340,0.96364,0.94643,0.96154
ESRP1_PRIO,0.98148,0.24242,0.98039,0.87037,0.97917,0.87719,0.39394,0.96078,0.96296,0.96296,0.96078,0.39394,0.96078,0.96296,0.96296,0.96078
MSTO1_EGLN,0.98148,0.17172,0.98148,0.79592,0.97500,0.84127,0.23232,0.96296,0.87755,0.95556,0.89655,0.71717,0.88889,0.97959,0.88889,0.97959
DPP3_KAP3,0.98148,0.25253,0.98113,0.89091,0.98000,0.89655,0.25253,0.98113,0.89091,0.98000,0.89655,0.25253,0.98113,0.89091,0.98000,0.89655
PRIO_HOOK1,0.98147,0.19192,0.98077,0.83636,0.97872,0.85000,0.23232,0.96154,0.89091,0.96078,0.89286,0.49495,0.92308,0.98182,0.93103,0.97959
HOOK1_PRIO,0.98147,0.19192,0.98077,0.83636,0.97872,0.85000,0.23232,0.96154,0.89091,0.96078,0.89286,0.49495,0.92308,0.98182,0.93103,0.97959
IMA1_CNRP1,0.9814,0.24242,0.98246,0.90000,0.97826,0.91803,0.33333,0.94737,0.96000,0.94118,0.96429,0.54545,0.92982,0.98000,0.92453,0.98148
CNRP1_IMA1,0.9814,0.24242,0.98246,0.90000,0.97826,0.91803,0.33333,0.94737,0.96000,0.94118,0.96429,0.54545,0.92982,0.98000,0.92453,0.98148
GGCT_MECP2,0.98127,0.23232,0.98305,0.87719,0.98039,0.89231,0.23232,0.98305,0.87719,0.98039,0.89231,0.53535,0.93220,0.92982,0.92982,0.93220
MECP2_GGCT,0.98127,0.23232,0.98305,0.87719,0.98039,0.89231,0.23232,0.98305,0.87719,0.98039,0.89231,0.53535,0.93220,0.92982,0.92982,0.93220
HMGB3_MECP2,0.98125,0.28283,0.96552,0.87719,0.96154,0.88889,0.28283,0.96552,0.87719,0.96154,0.88889,0.66667,0.87931,0.96491,0.88710,0.96226
AL1A2_GARS,0.98125,0.22222,0.96552,0.89474,0.96226,0.90323,0.24242,0.94828,0.92982,0.94643,0.93220,0.24242,0.94828,0.92982,0.94643,0.93220
GARS_AL1A2,0.98125,0.22222,0.96552,0.89474,0.96226,0.90323,0.24242,0.94828,0.92982,0.94643,0.93220,0.24242,0.94828,0.92982,0.94643,0.93220
MECP2_HMGB3,0.98125,0.28283,0.96552,0.87719,0.96154,0.88889,0.28283,0.96552,0.87719,0.96154,0.88889,0.66667,0.87931,0.96491,0.88710,0.96226
RTKN_EPDR1,0.98119,0.17172,1.00000,0.82353,1.00000,0.84483,0.21212,0.95918,0.88235,0.95745,0.88679,0.21212,0.95918,0.88235,0.95745,0.88679
EPDR1_RTKN,0.98119,0.17172,1.00000,0.82353,1.00000,0.84483,0.21212,0.95918,0.88235,0.95745,0.88679,0.21212,0.95918,0.88235,0.95745,0.88679
EGFR_RTKN,0.98118,0.07071,0.98000,0.72549,0.97368,0.77778,0.33333,0.96000,0.94118,0.96000,0.94118,0.33333,0.96000,0.94118,0.96000,0.94118
RTKN_EGFR,0.98118,0.07071,0.98000,0.72549,0.97368,0.77778,0.33333,0.96000,0.94118,0.96000,0.94118,0.33333,0.96000,0.94118,0.96000,0.94118
PGS2_HOOK1,0.98116,0.21212,0.98182,0.85455,0.97917,0.87097,0.34343,0.94545,0.96364,0.94643,0.96296,0.34343,0.94545,0.96364,0.94643,0.96296
HOOK1_PGS2,0.98116,0.21212,0.98182,0.85455,0.97917,0.87097,0.34343,0.94545,0.96364,0.94643,0.96296,0.34343,0.94545,0.96364,0.94643,0.96296
AL1A2_PSME4,0.98115,0.15152,0.98077,0.90196,0.97872,0.91071,0.20202,0.96154,0.92157,0.95918,0.92593,0.43434,0.92308,0.96078,0.92453,0.96000
PSME4_AL1A2,0.98115,0.15152,0.98077,0.90196,0.97872,0.91071,0.20202,0.96154,0.92157,0.95918,0.92593,0.43434,0.92308,0.96078,0.92453,0.96000
PGFRB_GNA1,0.98113,0.29293,0.98113,0.92593,0.98039,0.92857,0.29293,0.98113,0.92593,0.98039,0.92857,0.29293,0.98113,0.92593,0.98039,0.92857
CDN2C_UBE2H,0.98113,0.10101,0.98113,0.80357,0.97826,0.82540,0.26263,0.96226,0.89286,0.96154,0.89474,0.42424,0.92453,0.96429,0.93103,0.96078
UBE2H_CDN2C,0.98113,0.10101,0.98113,0.80357,0.97826,0.82540,0.26263,0.96226,0.89286,0.96154,0.89474,0.42424,0.92453,0.96429,0.93103,0.96078
GNA1_PGFRB,0.98113,0.29293,0.98113,0.92593,0.98039,0.92857,0.29293,0.98113,0.92593,0.98039,0.92857,0.29293,0.98113,0.92593,0.98039,0.92857
CDN2C_MD2L1,0.98111,0.27273,0.98039,0.96364,0.98148,0.96154,0.27273,0.98039,0.96364,0.98148,0.96154,0.27273,0.98039,0.96364,0.98148,0.96154
MD2L1_CDN2C,0.98111,0.27273,0.98039,0.96364,0.98148,0.96154,0.27273,0.98039,0.96364,0.98148,0.96154,0.27273,0.98039,0.96364,0.98148,0.96154
GGCT_AL1A1,0.98097,0.36364,0.96610,0.96491,0.96491,0.96610,0.36364,0.96610,0.96491,0.96491,0.96610,0.36364,0.96610,0.96491,0.96491,0.96610
AL1A1_GGCT,0.98097,0.36364,0.96610,0.96491,0.96491,0.96610,0.36364,0.96610,0.96491,0.96491,0.96610,0.36364,0.96610,0.96491,0.96491,0.96610
CDK1_PGS2,0.98088,0.27273,0.98276,0.89091,0.98000,0.90476,0.39394,0.94828,0.94545,0.94545,0.94828,0.44444,0.93103,0.96364,0.92982,0.96429
CDK1_CNRP1,0.98088,0.12121,0.96552,0.76364,0.95455,0.81159,0.32323,0.94828,0.92727,0.94444,0.93220,0.46465,0.93103,1.00000,0.93220,1.00000
PGS2_CDK1,0.98088,0.27273,0.98276,0.89091,0.98000,0.90476,0.39394,0.94828,0.94545,0.94545,0.94828,0.44444,0.93103,0.96364,0.92982,0.96429
CNRP1_CDK1,0.98088,0.12121,0.96552,0.76364,0.95455,0.81159,0.32323,0.94828,0.92727,0.94444,0.93220,0.46465,0.93103,1.00000,0.93220,1.00000
KAP3_RTKN,0.98081,0.22222,0.97872,0.86275,0.97778,0.86792,0.29293,0.95745,0.90196,0.95833,0.90000,0.29293,0.95745,0.90196,0.95833,0.90000
RTKN_KAP3,0.98081,0.22222,0.97872,0.86275,0.97778,0.86792,0.29293,0.95745,0.90196,0.95833,0.90000,0.29293,0.95745,0.90196,0.95833,0.90000
KANK2_GNA1,0.9808,0.15152,0.98113,0.80357,0.97826,0.82540,0.16162,0.96226,0.82143,0.95833,0.83607,0.49495,0.90566,0.98214,0.91667,0.97959
ESRP1_CNRP1,0.9808,0.10101,0.98148,0.81481,0.97778,0.84127,0.24242,0.96296,0.90741,0.96078,0.91228,0.31313,0.94444,0.96296,0.94545,0.96226
GNA1_KANK2,0.9808,0.15152,0.98113,0.80357,0.97826,0.82540,0.16162,0.96226,0.82143,0.95833,0.83607,0.49495,0.90566,0.98214,0.91667,0.97959
CNRP1_ESRP1,0.9808,0.10101,0.98148,0.81481,0.97778,0.84127,0.24242,0.96296,0.90741,0.96078,0.91228,0.31313,0.94444,0.96296,0.94545,0.96226
VINEX_LDHA,0.98079,0.11111,0.98113,0.83636,0.97872,0.85246,0.11111,0.98113,0.83636,0.97872,0.85246,0.43434,0.94340,0.94545,0.94545,0.94340
LDHA_VINEX,0.98079,0.11111,0.98113,0.83636,0.97872,0.85246,0.11111,0.98113,0.83636,0.97872,0.85246,0.43434,0.94340,0.94545,0.94545,0.94340
ASNS_FHL1,0.98077,0.05051,0.98148,0.61538,0.96970,0.72603,0.27273,0.96296,0.94231,0.96078,0.94545,0.70707,0.92593,1.00000,0.92857,1.00000
FHL1_ASNS,0.98077,0.05051,0.98148,0.61538,0.96970,0.72603,0.27273,0.96296,0.94231,0.96078,0.94545,0.70707,0.92593,1.00000,0.92857,1.00000
ACACA_FHL1,0.98076,0.27273,0.98113,0.94118,0.97959,0.94545,0.27273,0.98113,0.94118,0.97959,0.94545,0.27273,0.98113,0.94118,0.97959,0.94545
FHL1_ACACA,0.98076,0.27273,0.98113,0.94118,0.97959,0.94545,0.27273,0.98113,0.94118,0.97959,0.94545,0.27273,0.98113,0.94118,0.97959,0.94545
CDN2C_AVL9,0.98075,0.09091,0.98039,0.81818,0.97826,0.83333,0.37374,0.96078,0.92727,0.96226,0.92453,0.50505,0.92157,0.98182,0.93103,0.97917
AVL9_CDN2C,0.98075,0.09091,0.98039,0.81818,0.97826,0.83333,0.37374,0.96078,0.92727,0.96226,0.92453,0.50505,0.92157,0.98182,0.93103,0.97917
SMC2_PGS2,0.98071,0.22222,0.98214,0.88000,0.97778,0.90164,0.35354,0.94643,0.90000,0.93750,0.91379,0.57576,0.92857,0.96000,0.92308,0.96296
PGS2_SMC2,0.98071,0.22222,0.98214,0.88000,0.97778,0.90164,0.35354,0.94643,0.90000,0.93750,0.91379,0.57576,0.92857,0.96000,0.92308,0.96296
NRDC_AL1A1,0.98061,0.20202,0.98246,0.89474,0.98077,0.90323,0.29293,0.96491,0.91228,0.96296,0.91667,0.20202,0.98246,0.89474,0.98077,0.90323
AL1A1_NRDC,0.98061,0.20202,0.98246,0.89474,0.98077,0.90323,0.29293,0.96491,0.91228,0.96296,0.91667,0.20202,0.98246,0.89474,0.98077,0.90323
AL1A2_HMCS1,0.98052,0.15152,0.98182,0.85714,0.97959,0.87097,0.17172,0.96364,0.87500,0.96078,0.88333,0.64646,0.89091,0.98214,0.90164,0.98000
HMCS1_AL1A2,0.98052,0.15152,0.98182,0.85714,0.97959,0.87097,0.17172,0.96364,0.87500,0.96078,0.88333,0.64646,0.89091,0.98214,0.90164,0.98000
MD2L1_KANK2,0.98047,0.19192,0.98148,0.83636,0.97872,0.85484,0.21212,0.96296,0.85455,0.95918,0.86667,0.75758,0.90741,0.98182,0.91525,0.98000
KANK2_MD2L1,0.98047,0.19192,0.98148,0.83636,0.97872,0.85484,0.21212,0.96296,0.85455,0.95918,0.86667,0.75758,0.90741,0.98182,0.91525,0.98000
PSME4_CNRP1,0.98039,0.0404,0.98077,0.60784,0.96875,0.71831,0.21212,0.96154,0.86275,0.95652,0.87719,0.59596,0.90385,1.00000,0.91071,1.00000
CNRP1_PSME4,0.98039,0.0404,0.98077,0.60784,0.96875,0.71831,0.21212,0.96154,0.86275,0.95652,0.87719,0.59596,0.90385,1.00000,0.91071,1.00000
KANK2_MSTO1,0.98038,0.20202,0.98077,0.85714,0.97674,0.87931,0.28283,0.96154,0.87755,0.95556,0.89286,0.53535,0.90385,0.95918,0.90385,0.95918
MSTO1_KANK2,0.98038,0.20202,0.98077,0.85714,0.97674,0.87931,0.28283,0.96154,0.87755,0.95556,0.89286,0.53535,0.90385,0.95918,0.90385,0.95918
UBE2H_MXRA7,0.9803,0.29293,0.98246,0.92982,0.98148,0.93333,0.29293,0.98246,0.92982,0.98148,0.93333,0.29293,0.98246,0.92982,0.98148,0.93333
MXRA7_UBE2H,0.9803,0.29293,0.98246,0.92982,0.98148,0.93333,0.29293,0.98246,0.92982,0.98148,0.93333,0.29293,0.98246,0.92982,0.98148,0.93333
PGS2_ESRP1,0.98011,0.32323,0.98148,0.94444,0.98077,0.94643,0.32323,0.98148,0.94444,0.98077,0.94643,0.32323,0.98148,0.94444,0.98077,0.94643
ESRP1_PGS2,0.98011,0.32323,0.98148,0.94444,0.98077,0.94643,0.32323,0.98148,0.94444,0.98077,0.94643,0.32323,0.98148,0.94444,0.98077,0.94643
KANK2_HOOK1,0.9801,0.12121,0.98113,0.76364,0.97674,0.80000,0.25253,0.96226,0.89091,0.96078,0.89474,0.50505,0.92453,0.98182,0.93103,0.98000
HOOK1_KANK2,0.9801,0.12121,0.98113,0.76364,0.97674,0.80000,0.25253,0.96226,0.89091,0.96078,0.89474,0.50505,0.92453,0.98182,0.93103,0.98000
EGLN_UCK2,0.98001,0.18182,0.98039,0.80392,0.97619,0.83333,0.22222,0.96078,0.82353,0.95455,0.84483,0.41414,0.92157,0.98039,0.92593,0.97917
UCK2_EGLN,0.98001,0.18182,0.98039,0.80392,0.97619,0.83333,0.22222,0.96078,0.82353,0.95455,0.84483,0.41414,0.92157,0.98039,0.92593,0.97917
RECK_ESRP1,0.97997,0.18182,0.97959,0.81481,0.97778,0.82759,0.28283,0.95918,0.88889,0.96000,0.88679,0.38384,0.91837,0.94444,0.92727,0.93750
ESRP1_RECK,0.97997,0.18182,0.97959,0.81481,0.97778,0.82759,0.28283,0.95918,0.88889,0.96000,0.88679,0.38384,0.91837,0.94444,0.92727,0.93750
PGS2_MD2L1,0.97991,0.11111,0.98214,0.80357,0.97826,0.83333,0.46465,0.94643,0.94643,0.94643,0.94643,0.59596,0.92857,0.98214,0.93220,0.98113
MD2L1_PGS2,0.97991,0.11111,0.98214,0.80357,0.97826,0.83333,0.46465,0.94643,0.94643,0.94643,0.94643,0.59596,0.92857,0.98214,0.93220,0.98113
LDHA_KAP3,0.97976,0.11111,1.00000,0.74545,1.00000,0.79104,0.13131,0.96226,0.76364,0.95455,0.79688,0.32323,0.94340,0.94545,0.94545,0.94340
KAP3_LDHA,0.97976,0.11111,1.00000,0.74545,1.00000,0.79104,0.13131,0.96226,0.76364,0.95455,0.79688,0.32323,0.94340,0.94545,0.94545,0.94340
KAP3_MD2L1,0.97968,0.14141,0.98039,0.81818,0.97826,0.83333,0.24242,0.96078,0.92727,0.96226,0.92453,0.24242,0.96078,0.92727,0.96226,0.92453
MD2L1_KAP3,0.97968,0.14141,0.98039,0.81818,0.97826,0.83333,0.24242,0.96078,0.92727,0.96226,0.92453,0.24242,0.96078,0.92727,0.96226,0.92453
CLIC2_NRDC,0.97964,0.16162,1.00000,0.82456,1.00000,0.84848,0.28283,0.94643,0.89474,0.94444,0.89831,0.28283,0.94643,0.89474,0.94444,0.89831
NRDC_CLIC2,0.97964,0.16162,1.00000,0.82456,1.00000,0.84848,0.28283,0.94643,0.89474,0.94444,0.89831,0.28283,0.94643,0.89474,0.94444,0.89831
AL1L1_IMA1,0.97962,0.05051,1.00000,0.66000,1.00000,0.75714,0.09091,0.96226,0.74000,0.94872,0.79688,0.46465,0.92453,1.00000,0.92593,1.00000
IMA1_AL1L1,0.97962,0.05051,1.00000,0.66000,1.00000,0.75714,0.09091,0.96226,0.74000,0.94872,0.79688,0.46465,0.92453,1.00000,0.92593,1.00000
AL1A1_MD2L1,0.97959,0.12121,0.98214,0.80357,0.97826,0.83333,0.49495,0.94643,0.98214,0.94828,0.98148,0.38384,0.96429,0.96429,0.96429,0.96429
KAP3_ESRP1,0.97959,0.17172,0.97959,0.83019,0.97778,0.84211,0.19192,0.95918,0.84906,0.95745,0.85455,0.38384,0.91837,0.94340,0.92593,0.93750
IMA1_EPDR1,0.97959,0.08081,0.98182,0.77551,0.97436,0.83077,0.63636,0.94545,0.97959,0.94118,0.98113,0.63636,0.94545,0.97959,0.94118,0.98113
MD2L1_AL1A1,0.97959,0.12121,0.98214,0.80357,0.97826,0.83333,0.49495,0.94643,0.98214,0.94828,0.98148,0.38384,0.96429,0.96429,0.96429,0.96429
ESRP1_KAP3,0.97959,0.17172,0.97959,0.83019,0.97778,0.84211,0.19192,0.95918,0.84906,0.95745,0.85455,0.38384,0.91837,0.94340,0.92593,0.93750
EPDR1_IMA1,0.97959,0.08081,0.98182,0.77551,0.97436,0.83077,0.63636,0.94545,0.97959,0.94118,0.98113,0.63636,0.94545,0.97959,0.94118,0.98113
CDK1_EPDR1,0.9795,0.05051,0.98214,0.55556,0.96774,0.69620,0.40404,0.94643,0.96296,0.94545,0.96364,0.40404,0.94643,0.96296,0.94545,0.96364
EPDR1_CDK1,0.9795,0.05051,0.98214,0.55556,0.96774,0.69620,0.40404,0.94643,0.96296,0.94545,0.96364,0.40404,0.94643,0.96296,0.94545,0.96364
AL1A1_GARS,0.97948,0.18182,0.96610,0.89474,0.96226,0.90476,0.18182,0.96610,0.89474,0.96226,0.90476,0.37374,0.93220,0.92982,0.92982,0.93220
GARS_AL1A1,0.97948,0.18182,0.96610,0.89474,0.96226,0.90476,0.18182,0.96610,0.89474,0.96226,0.90476,0.37374,0.93220,0.92982,0.92982,0.93220
FAS_MXRA7,0.97948,0.31313,0.96610,0.89474,0.96226,0.90476,0.39394,0.94915,0.92982,0.94643,0.93333,0.39394,0.94915,0.92982,0.94643,0.93333
MECP2_DPP3,0.97948,0.19192,0.96610,0.84211,0.96000,0.86364,0.21212,0.94915,0.85965,0.94231,0.87500,0.77778,0.88136,0.98246,0.88889,0.98113
MXRA7_FAS,0.97948,0.31313,0.96610,0.89474,0.96226,0.90476,0.39394,0.94915,0.92982,0.94643,0.93333,0.39394,0.94915,0.92982,0.94643,0.93333
DPP3_MECP2,0.97948,0.19192,0.96610,0.84211,0.96000,0.86364,0.21212,0.94915,0.85965,0.94231,0.87500,0.77778,0.88136,0.98246,0.88889,0.98113
NRDC_KAP3,0.97937,0.13131,0.98077,0.76364,0.97674,0.79688,0.19192,0.96154,0.85455,0.95918,0.86207,0.38384,0.90385,0.94545,0.91228,0.94000
KAP3_NRDC,0.97937,0.13131,0.98077,0.76364,0.97674,0.79688,0.19192,0.96154,0.85455,0.95918,0.86207,0.38384,0.90385,0.94545,0.91228,0.94000
MECP2_LDH6B,0.97937,0.36364,0.96552,0.89286,0.96154,0.90323,0.36364,0.96552,0.89286,0.96154,0.90323,0.36364,0.96552,0.89286,0.96154,0.90323
LDH6B_MECP2,0.97937,0.36364,0.96552,0.89286,0.96154,0.90323,0.36364,0.96552,0.89286,0.96154,0.90323,0.36364,0.96552,0.89286,0.96154,0.90323
AL1A2_UBE2H,0.97932,0.18182,0.98214,0.89474,0.98077,0.90164,0.29293,0.94643,0.92982,0.94643,0.92982,0.48485,0.92857,0.96491,0.93220,0.96296
UBE2H_AL1A2,0.97932,0.18182,0.98214,0.89474,0.98077,0.90164,0.29293,0.94643,0.92982,0.94643,0.92982,0.48485,0.92857,0.96491,0.93220,0.96296
DPOD1_KAP3,0.9793,0.09091,0.98039,0.68519,0.97368,0.74627,0.20202,0.96078,0.90741,0.96078,0.90741,0.37374,0.92157,0.96296,0.92857,0.95918
KAP3_DPOD1,0.9793,0.09091,0.98039,0.68519,0.97368,0.74627,0.20202,0.96078,0.90741,0.96078,0.90741,0.37374,0.92157,0.96296,0.92857,0.95918
FHL1_UCK2,0.97924,0.10101,0.98039,0.74510,0.97436,0.79365,0.24242,0.96078,0.88235,0.95745,0.89091,0.24242,0.96078,0.88235,0.95745,0.89091
UCK2_FHL1,0.97924,0.10101,0.98039,0.74510,0.97436,0.79365,0.24242,0.96078,0.88235,0.95745,0.89091,0.24242,0.96078,0.88235,0.95745,0.89091
ACACA_RET7,0.97922,0.14141,0.98000,0.86275,0.97778,0.87500,0.28283,0.96000,0.94118,0.96000,0.94118,0.48485,0.94000,0.98039,0.94340,0.97917
RET7_ACACA,0.97922,0.14141,0.98000,0.86275,0.97778,0.87500,0.28283,0.96000,0.94118,0.96000,0.94118,0.48485,0.94000,0.98039,0.94340,0.97917
KAP3_PSME4,0.97917,0.16162,0.97917,0.88235,0.97826,0.88679,0.22222,0.95833,0.92157,0.95918,0.92000,0.22222,0.95833,0.92157,0.95918,0.92000
PSME4_KAP3,0.97917,0.16162,0.97917,0.88235,0.97826,0.88679,0.22222,0.95833,0.92157,0.95918,0.92000,0.22222,0.95833,0.92157,0.95918,0.92000
HMCS1_CNRP1,0.97911,0.19192,0.98214,0.85714,0.97959,0.87302,0.20202,0.94643,0.87500,0.94231,0.88333,0.81818,0.85714,1.00000,0.87500,1.00000
CNRP1_HMCS1,0.97911,0.19192,0.98214,0.85714,0.97959,0.87302,0.20202,0.94643,0.87500,0.94231,0.88333,0.81818,0.85714,1.00000,0.87500,1.00000
AL1L1_HOOK1,0.97902,0.06061,0.98077,0.67273,0.97368,0.73913,0.10101,0.96154,0.76364,0.95455,0.79365,0.51515,0.94231,0.98182,0.94737,0.98000
HOOK1_AL1L1,0.97902,0.06061,0.98077,0.67273,0.97368,0.73913,0.10101,0.96154,0.76364,0.95455,0.79365,0.51515,0.94231,0.98182,0.94737,0.98000
CLIC2_UBE2H,0.97901,0.16162,0.98214,0.85965,0.98000,0.87302,0.25253,0.96429,0.91228,0.96296,0.91525,0.25253,0.96429,0.91228,0.96296,0.91525
UBE2H_CLIC2,0.97901,0.16162,0.98214,0.85965,0.98000,0.87302,0.25253,0.96429,0.91228,0.96296,0.91525,0.25253,0.96429,0.91228,0.96296,0.91525
MXRA7_IDI1,0.97895,0.24242,0.98246,0.87273,0.97959,0.88889,0.38384,0.94737,0.92727,0.94444,0.93103,0.40404,0.92982,0.94545,0.92857,0.94643
IDI1_MXRA7,0.97895,0.24242,0.98246,0.87273,0.97959,0.88889,0.38384,0.94737,0.92727,0.94444,0.93103,0.40404,0.92982,0.94545,0.92857,0.94643
PGS2_GNA1,0.9789,0.12121,0.98182,0.80357,0.97826,0.83077,0.35354,0.94545,0.92857,0.94545,0.92857,0.35354,0.94545,0.92857,0.94545,0.92857
GNA1_PGS2,0.9789,0.12121,0.98182,0.80357,0.97826,0.83077,0.35354,0.94545,0.92857,0.94545,0.92857,0.35354,0.94545,0.92857,0.94545,0.92857
MECP2_HOOK1,0.97884,0.16162,0.98182,0.80000,0.97778,0.83077,0.46465,0.94545,0.94545,0.94545,0.94545,0.46465,0.94545,0.94545,0.94545,0.94545
HOOK1_MECP2,0.97884,0.16162,0.98182,0.80000,0.97778,0.83077,0.46465,0.94545,0.94545,0.94545,0.94545,0.46465,0.94545,0.94545,0.94545,0.94545
MECP2_RTKN,0.97882,0.21212,0.98000,0.82353,0.97674,0.84483,0.27273,0.96000,0.90196,0.95833,0.90566,0.27273,0.96000,0.90196,0.95833,0.90566
RTKN_MECP2,0.97882,0.21212,0.98000,0.82353,0.97674,0.84483,0.27273,0.96000,0.90196,0.95833,0.90566,0.27273,0.96000,0.90196,0.95833,0.90566
IDE_KAP3,0.97873,0.23232,0.98113,0.92727,0.98077,0.92857,0.23232,0.98113,0.92727,0.98077,0.92857,0.23232,0.98113,0.92727,0.98077,0.92857
KAP3_IDE,0.97873,0.23232,0.98113,0.92727,0.98077,0.92857,0.23232,0.98113,0.92727,0.98077,0.92857,0.23232,0.98113,0.92727,0.98077,0.92857
EGLN_MD2L1,0.97864,0.08081,0.98214,0.73214,0.97619,0.78571,0.26263,0.94643,0.89286,0.94340,0.89831,0.39394,0.92857,0.96429,0.93103,0.96296
MD2L1_EGLN,0.97864,0.08081,0.98214,0.73214,0.97619,0.78571,0.26263,0.94643,0.89286,0.94340,0.89831,0.39394,0.92857,0.96429,0.93103,0.96296
PGS2_DPOD1,0.97863,0.26263,0.98246,0.90909,0.98039,0.91803,0.44444,0.94737,0.94545,0.94545,0.94737,0.44444,0.94737,0.94545,0.94545,0.94737
DPOD1_PGS2,0.97863,0.26263,0.98246,0.90909,0.98039,0.91803,0.44444,0.94737,0.94545,0.94545,0.94737,0.44444,0.94737,0.94545,0.94545,0.94737
MECP2_IMA1,0.9786,0.25253,0.98246,0.84000,0.97674,0.87500,0.38384,0.94737,0.90000,0.93750,0.91525,0.79798,0.87719,0.98000,0.87500,0.98039
IMA1_MECP2,0.9786,0.25253,0.98246,0.84000,0.97674,0.87500,0.38384,0.94737,0.90000,0.93750,0.91525,0.79798,0.87719,0.98000,0.87500,0.98039
AL1A1_AVL9,0.97851,0.0303,0.98182,0.45455,0.96154,0.64286,0.23232,0.96364,0.94545,0.96296,0.94643,0.23232,0.96364,0.94545,0.96296,0.94643
AVL9_AL1A1,0.97851,0.0303,0.98182,0.45455,0.96154,0.64286,0.23232,0.96364,0.94545,0.96296,0.94643,0.23232,0.96364,0.94545,0.96296,0.94643
LDHA_MECP2,0.97829,0.21212,0.98305,0.87719,0.98039,0.89231,0.21212,0.98305,0.87719,0.98039,0.89231,0.21212,0.98305,0.87719,0.98039,0.89231
MECP2_LDHA,0.97829,0.21212,0.98305,0.87719,0.98039,0.89231,0.21212,0.98305,0.87719,0.98039,0.89231,0.21212,0.98305,0.87719,0.98039,0.89231
CLIC2_CASP3,0.97822,0.24242,0.96552,0.89474,0.96226,0.90323,0.33333,0.94828,0.91228,0.94545,0.91667,0.52525,0.89655,0.96491,0.90164,0.96296
CASP3_CLIC2,0.97822,0.24242,0.96552,0.89474,0.96226,0.90323,0.33333,0.94828,0.91228,0.94545,0.91667,0.52525,0.89655,0.96491,0.90164,0.96296
AL1L1_ESRP1,0.97821,0.08081,0.98039,0.68519,0.97368,0.74627,0.10101,0.96078,0.72222,0.95122,0.76562,0.66667,0.88235,1.00000,0.90000,1.00000
ESRP1_AL1L1,0.97821,0.08081,0.98039,0.68519,0.97368,0.74627,0.10101,0.96078,0.72222,0.95122,0.76562,0.66667,0.88235,1.00000,0.90000,1.00000
