Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
O43615,TIM44_HUMAN,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,171851,669132,,58203.1,,191230
O43617,TPPC3_HUMAN,TRAPPC3,Trafficking protein particle complex subunit 3,3.73E+06,3.75E+06,3.99E+06,4.29E+06,5.23E+06,4.42E+06
O43633,CHM2A_HUMAN,CHMP2A,Charged multivesicular body protein 2a,8.49E+06,2.81E+07,3.25E+07,1.34E+07,6.71E+06,8.08E+06
O43639,NCK2_HUMAN,NCK2,Cytoplasmic protein NCK2,235561,275266,207350,224862,236310,169307
O43653,PSCA_HUMAN,PSCA,Prostate stem cell antigen,3539.64,,,,,
O43657,TSN6_HUMAN,TSPAN6,Tetraspanin-6,471069,690440,888414,780279,450190,330696
O43660,PLRG1_HUMAN,PLRG1,Pleiotropic regulator 1,1.10E+06,1.85E+06,,459462,976490,793860
O43665,RGS10_HUMAN,RGS10,Regulator of G-protein signaling 10,7.89E+06,1.59E+07,5.69E+06,7.35E+06,9.63E+06,8.16E+06
O43670,ZN207_HUMAN,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,4.86E+06,3.01E+06,3.78E+06,4.67E+06,6.31E+06,5.24E+06
O43674,NDUB5_HUMAN,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",2775.09,,,,,5806.26
O43678,NDUA2_HUMAN,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,105079,,,104418,,338696
O43681,GET3_HUMAN,GET3,ATPase GET3,7.68E+06,5.41E+06,7.45E+06,5.59E+06,7.94E+06,1.05E+07
O43684,BUB3_HUMAN,BUB3,Mitotic checkpoint protein BUB3,3.56E+06,1.05E+06,1.94E+06,2.84E+06,3.13E+06,3.26E+06
O43687,AKA7A_HUMAN,AKAP7,A-kinase anchor protein 7 isoforms alpha and beta,435646,,2.85E+06,226878,680948,161518
O43688,PLPP2_HUMAN,PLPP2,Phospholipid phosphatase 2,3006.91,,417926,601970,,421180
O43707,ACTN4_HUMAN,ACTN4,Alpha-actinin-4,8.40E+07,1.23E+08,8.62E+07,8.78E+07,8.31E+07,9.69E+07
O43708,MAAI_HUMAN,GSTZ1,Maleylacetoacetate isomerase,2.41E+06,4.19E+06,3.09E+06,1.86E+06,1.38E+06,2.13E+06
O43709,BUD23_HUMAN,BUD23,18S rRNA (guanine-N(7))-methyltransferase,27839.8,,,16242.7,43871.5,34864.3
O43715,TRIA1_HUMAN,TRIAP1,TP53-regulated inhibitor of apoptosis 1,1.86E+06,,,,,
O43719,HTSF1_HUMAN,HTATSF1,17S U2 SnRNP complex component HTATSF1,8.52E+06,4.51E+06,4.67E+06,6.05E+06,5.00E+06,6.13E+06
O43734,CIKS_HUMAN,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2,,,,1.33E+06,,967298
O43741,AAKB2_HUMAN,PRKAB2,5'-AMP-activated protein kinase subunit beta-2,,,,,,3114.52
O43747,AP1G1_HUMAN,AP1G1,AP-1 complex subunit gamma-1,3.47E+06,3.84E+06,3.00E+06,4.50E+06,4.55E+06,3.56E+06
O43752,STX6_HUMAN,STX6,Syntaxin-6,353011,610963,160209,310747,329537,234409
O43759,SNG1_HUMAN,SYNGR1,Synaptogyrin-1,170256,,191298,499513,276303,428245
O43760,SNG2_HUMAN,SYNGR2,Synaptogyrin-2,4.97E+06,,4.11E+06,1.09E+07,1.03E+07,9.08E+06
O43765,SGTA_HUMAN,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,9.40E+06,9.54E+06,1.04E+07,1.18E+07,1.09E+07,9.59E+06
O43768,ENSA_HUMAN,ENSA,Alpha-endosulfine,9.22E+06,1.15E+07,1.24E+07,7.52E+06,7.49E+06,6.88E+06
O43776,SYNC_HUMAN,NARS1,"Asparagine--tRNA ligase, cytoplasmic",8.54E+06,8.87E+06,2.05E+07,1.75E+07,2.49E+07,1.63E+07
O43795,MYO1B_HUMAN,MYO1B,Unconventional myosin-Ib,638285,,4.48E+06,2.06E+06,1.69E+06,1.60E+06
O43805,SSNA1_HUMAN,SSNA1,Microtubule nucleation factor SSNA1,387716,,457408,571117,1.09E+06,
O43809,CPSF5_HUMAN,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,4.99E+08,3.16E+08,1.61E+08,3.41E+08,3.42E+08,3.52E+08
O43813,LANC1_HUMAN,LANCL1,Glutathione S-transferase LANCL1,1.19E+07,1.12E+07,1.17E+07,7.64E+06,8.86E+06,1.24E+07
O43815,STRN_HUMAN,STRN,Striatin,3.23E+06,8.32E+06,2.54E+06,2.82E+06,3.08E+06,4.08E+06
O43818,U3IP2_HUMAN,RRP9,U3 small nucleolar RNA-interacting protein 2,370850,,161388,67903.6,230226,263428
O43822,CF410_HUMAN,CFAP410,Cilia- and flagella-associated protein 410,4470.46,,5301.57,5238.4,,
O43823,AKAP8_HUMAN,AKAP8,A-kinase anchor protein 8,449640,,188523,209268,319508,348654
O43837,IDH3B_HUMAN,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",515290,1.04E+06,260225,197404,,396773
O43847,NRDC_HUMAN,NRDC,Nardilysin,2.11E+06,2.78E+06,1.99E+06,2.19E+06,3.37E+06,1.68E+06
O43852,CALU_HUMAN,CALU,Calumenin,1.52E+07,1.32E+07,6.92E+06,1.43E+07,1.05E+07,2.27E+07
O43865,SAHH2_HUMAN,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,1.09E+07,7.91E+06,1.64E+07,9.13E+06,1.24E+07,1.04E+07
O43866,CD5L_HUMAN,CD5L,CD5 antigen-like,1.83E+07,2.30E+07,5.16E+07,4.21E+07,6.11E+07,2.24E+07
O43896,KIF1C_HUMAN,KIF1C,Kinesin-like protein KIF1C,203654,,,196441,407262,280102
O43914,TYOBP_HUMAN,TYROBP,TYRO protein tyrosine kinase-binding protein,,,36270.9,136954,,
O43924,PDE6D_HUMAN,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",329843,,453476,315624,330210,324042
O43929,ORC4_HUMAN,ORC4,Origin recognition complex subunit 4,41537.9,,44404.7,47598.7,52711.1,60767.1
O43933,PEX1_HUMAN,PEX1,Peroxisomal ATPase PEX1,202692,1.97E+06,1.36E+06,191212,128715,68710
O60216,RAD21_HUMAN,RAD21,Double-strand-break repair protein rad21 homolog,268527,,,141529,206476,193644
O60218,AK1BA_HUMAN,AKR1B10,Aldo-keto reductase family 1 member B10,1.01E+07,5.62E+07,2.41E+06,1.69E+06,3.95E+06,1.45E+06
O60220,TIM8A_HUMAN,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,259574,216608,,72346,103495,157676
O60231,DHX16_HUMAN,DHX16,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,120353,,86428.9,78113.7,94144.5,100507
O60232,ZNRD2_HUMAN,ZNRD2,Protein ZNRD2,1.72E+06,1.30E+06,2.07E+06,2.52E+06,3.43E+06,1.98E+06
O60234,GMFG_HUMAN,GMFG,Glia maturation factor gamma,6.70E+06,1.90E+07,4.33E+06,7.22E+06,8.03E+06,6.25E+06
O60235,TM11D_HUMAN,TMPRSS11D,Transmembrane protease serine 11D,124440,984831,,186916,145835,333830
O60237,MYPT2_HUMAN,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,40247.7,,,,10475.1,46494.2
O60238,BNI3L_HUMAN,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,1.32E+06,,553546,496091,703355,
O60243,H6ST1_HUMAN,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,80265.1,,28875.8,137627,216145,
O60245,PCDH7_HUMAN,PCDH7,Protocadherin-7,661984,1.49E+06,430446,885035,486273,555238
O60256,KPRB_HUMAN,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,4.08E+06,5.12E+06,4.58E+06,3.86E+06,4.25E+06,5.69E+06
O60259,KLK8_HUMAN,KLK8,Kallikrein-8,,,7.96E+06,759467,2.22E+06,4.40E+06
O60262,GBG7_HUMAN,GNG7,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,292040,,302892,146945,,595521
O60264,SMCA5_HUMAN,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,843741,1.91E+06,423338,319229,391594,205222
O60268,K0513_HUMAN,KIAA0513,Uncharacterized protein KIAA0513,188148,,,83173.4,104228,84892.2
O60271,JIP4_HUMAN,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,855717,776506,920951,987573,1.26E+06,1.17E+06
O60279,SUSD5_HUMAN,SUSD5,Sushi domain-containing protein 5,215859,,276356,742327,247312,
O60291,MGRN1_HUMAN,MGRN1,E3 ubiquitin-protein ligase MGRN1,,,2.19E+06,,,
O60292,SI1L3_HUMAN,SIPA1L3,Signal-induced proliferation-associated 1-like protein 3,3789.49,,,,,
O60306,AQR_HUMAN,AQR,RNA helicase aquarius,809813,,539407,638141,831907,834572
O60313,OPA1_HUMAN,OPA1,"Dynamin-like GTPase OPA1, mitochondrial",423903,,477382,312494,,661081
O60331,PI51C_HUMAN,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,,,1.36E+06,552503,,369580
O60333,KIF1B_HUMAN,KIF1B,Kinesin-like protein KIF1B,24465.9,,32501.1,30163.2,29600.1,22329.4
O60341,KDM1A_HUMAN,KDM1A,Lysine-specific histone demethylase 1A,2.11E+06,,868367,1.17E+06,1.09E+06,740023
O60343,TBCD4_HUMAN,TBC1D4,TBC1 domain family member 4,2.22E+07,,8.52E+06,1.77E+07,2.06E+07,1.70E+07
O60353,FZD6_HUMAN,FZD6,Frizzled-6,2.06E+06,,5.75E+06,1.18E+06,3.55E+06,1.75E+06
O60361,NDK8_HUMAN,NME2P1,Putative nucleoside diphosphate kinase,1.04E+06,2.85E+06,636467,962190,941206,742768
O60437,PEPL_HUMAN,PPL,Periplakin,2.80E+07,1.78E+07,8.11E+06,5.72E+06,9.99E+06,1.41E+07
O60443,GSDME_HUMAN,GSDME,Gasdermin-E,1.64E+06,1.08E+06,1.49E+06,578619,679078,2.07E+06
O60447,EVI5_HUMAN,EVI5,Ecotropic viral integration site 5 protein homolog,,,,,,26305.4
O60449,LY75_HUMAN,LY75,Lymphocyte antigen 75,1.59E+06,2.29E+06,2.58E+06,590364,1.62E+06,628341
O60462,NRP2_HUMAN,NRP2,Neuropilin-2,841348,3.32E+06,3.43E+06,1.88E+06,1.42E+06,709225
O60476,MA1A2_HUMAN,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",3456.63,16700,7688.83,4927.19,5544.68,
O60486,PLXC1_HUMAN,PLXNC1,Plexin-C1,403881,,,273304,,1.02E+06
O60487,MPZL2_HUMAN,MPZL2,Myelin protein zero-like protein 2,141232,,91609,317819,205728,171952
O60488,ACSL4_HUMAN,ACSL4,Long-chain-fatty-acid--CoA ligase 4,2.31E+06,5.70E+06,1.73E+06,3.88E+06,2.73E+06,1.85E+06
O60493,SNX3_HUMAN,SNX3,Sorting nexin-3,5.58E+06,8.06E+06,4.84E+06,4.37E+06,4.93E+06,5.17E+06
O60496,DOK2_HUMAN,DOK2,Docking protein 2,71348.5,118618,46495.9,75854.6,63439.6,58117.7
O60499,STX10_HUMAN,STX10,Syntaxin-10,15174.6,,8842.82,10035.7,8469.19,14156.7
O60502,OGA_HUMAN,OGA,Protein O-GlcNAcase,3.08E+06,2.50E+06,3.74E+06,4.01E+06,2.88E+06,4.20E+06
O60504,VINEX_HUMAN,SORBS3,Vinexin,6.59E+06,8.73E+06,6.52E+06,4.73E+06,3.07E+06,1.02E+07
O60506,HNRPQ_HUMAN,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,2.36E+07,1.83E+07,1.58E+07,2.36E+07,2.30E+07,2.09E+07
O60508,PRP17_HUMAN,CDC40,Pre-mRNA-processing factor 17,2868.2,,,1300.96,8095.92,8991.36
O60513,B4GT4_HUMAN,B4GALT4,"Beta-1,4-galactosyltransferase 4",260959,1.36E+06,,379826,253531,
O60518,RNBP6_HUMAN,RANBP6,Ran-binding protein 6,930755,5.28E+06,409701,,,652848
O60524,NEMF_HUMAN,NEMF,Ribosome quality control complex subunit NEMF,65264.8,,56618.7,50282.7,72620.3,45889
O60547,GMDS_HUMAN,GMDS,"GDP-mannose 4,6 dehydratase",1.05E+07,1.53E+07,1.03E+07,2.07E+07,1.44E+07,8.95E+06
O60551,NMT2_HUMAN,NMT2,Glycylpeptide N-tetradecanoyltransferase 2,629665,,576826,304219,,1.29E+06
O60563,CCNT1_HUMAN,CCNT1,Cyclin-T1,3586.97,,,2077.18,,1772.25
O60566,BUB1B_HUMAN,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,,,,6979.63,,
O60568,PLOD3_HUMAN,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,73487.2,97445.9,34257.4,69762.6,60835.2,106773
O60573,IF4E2_HUMAN,EIF4E2,Eukaryotic translation initiation factor 4E type 2,4428.5,,,4016.44,7703.28,
O60603,TLR2_HUMAN,TLR2,Toll-like receptor 2,825078,,1.37E+06,1.42E+06,892882,
O60609,GFRA3_HUMAN,GFRA3,GDNF family receptor alpha-3,,,,415727,,
O60610,DIAP1_HUMAN,DIAPH1,Protein diaphanous homolog 1,3.04E+06,2.62E+06,1.80E+06,2.75E+06,3.00E+06,3.28E+06
O60613,SEP15_HUMAN,SELENOF,Selenoprotein F,7533.29,,,9230.59,,
O60635,TSN1_HUMAN,TSPAN1,Tetraspanin-1,8.62E+06,5.87E+06,9.64E+07,5.69E+06,1.24E+07,1.63E+06
O60645,EXOC3_HUMAN,EXOC3,Exocyst complex component 3,254129,,561917,600085,727556,717489
O60664,PLIN3_HUMAN,PLIN3,Perilipin-3,2.57E+07,2.63E+07,2.45E+07,2.99E+07,3.22E+07,2.20E+07
O60671,RAD1_HUMAN,RAD1,Cell cycle checkpoint protein RAD1,88520.3,,,54256.3,71663.2,
O60678,ANM3_HUMAN,PRMT3,Protein arginine N-methyltransferase 3,177574,,242996,244073,265302,275425
O60684,IMA7_HUMAN,KPNA6,Importin subunit alpha-7,506011,618217,354519,289875,454872,515322
O60701,UGDH_HUMAN,UGDH,UDP-glucose 6-dehydrogenase,1.72E+07,1.52E+07,3.57E+07,3.03E+07,4.32E+07,1.58E+07
O60711,LPXN_HUMAN,LPXN,Leupaxin,245175,185621,222116,201986,302931,201624
O60716,CTND1_HUMAN,CTNND1,Catenin delta-1,8.93E+06,5.33E+06,5.34E+06,8.04E+06,5.65E+06,9.00E+06
O60739,EIF1B_HUMAN,EIF1B,Eukaryotic translation initiation factor 1b,9.91E+06,1.42E+07,1.18E+07,1.64E+07,1.56E+07,1.45E+07
O60749,SNX2_HUMAN,SNX2,Sorting nexin-2,1.33E+07,9.70E+06,1.51E+07,1.27E+07,1.42E+07,1.29E+07
O60760,HPGDS_HUMAN,HPGDS,Hematopoietic prostaglandin D synthase,13165.1,35043,21869.7,14823.5,9786.01,11127.1
O60762,DPM1_HUMAN,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,3.57E+06,3.32E+06,3.94E+06,5.20E+06,8.19E+06,1.15E+07
O60763,USO1_HUMAN,USO1,General vesicular transport factor p115,3.55E+06,3.56E+06,2.52E+06,5.92E+06,4.93E+06,3.93E+06
O60784,TOM1_HUMAN,TOM1,Target of Myb1 membrane trafficking protein,4.67E+06,5.88E+06,6.32E+06,6.42E+06,4.15E+06,3.79E+06
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN,H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,Histone H2B type 1-K,1.34E+08,7.90E+08,4.26E+07,1.32E+08,6.23E+07,7.07E+07
O60825,F262_HUMAN,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",1.63E+06,2.70E+06,1.91E+06,1.70E+06,2.76E+06,1.96E+06
O60826,CCD22_HUMAN,CCDC22,Coiled-coil domain-containing protein 22,1.25E+06,2.60E+06,1.16E+06,1.39E+06,1.34E+06,1.72E+06
O60828,PQBP1_HUMAN,PQBP1,Polyglutamine-binding protein 1,681972,,148404,248836,262326,463765
O60829,PAGE4_HUMAN,PAGE4,P antigen family member 4,,,,,,999390
O60831,PRAF2_HUMAN,PRAF2,PRA1 family protein 2,,,,79213.4,,401785
O60832,DKC1_HUMAN,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,1.83E+06,2.02E+06,1.14E+06,650193,2.13E+06,1.80E+06
O60841,IF2P_HUMAN,EIF5B,Eukaryotic translation initiation factor 5B,9.44E+06,9.41E+06,8.18E+06,5.00E+06,1.14E+07,7.60E+06
O60861,GAS7_HUMAN,GAS7,Growth arrest-specific protein 7,154634,,442473,194208,354425,767618
O60869,EDF1_HUMAN,EDF1,Endothelial differentiation-related factor 1,3.24E+06,4.84E+06,2.99E+06,2.13E+06,3.04E+06,2.40E+06
O60870,KIN17_HUMAN,KIN,DNA/RNA-binding protein KIN17,176682,,8130.61,20141.3,9066.86,56540.3
O60879,DIAP2_HUMAN,DIAPH2,Protein diaphanous homolog 2,156564,208606,141479,97007.6,116523,115387
O60884,DNJA2_HUMAN,DNAJA2,DnaJ homolog subfamily A member 2,1.94E+06,1.98E+06,3.11E+06,2.83E+06,4.36E+06,3.40E+06
O60885,BRD4_HUMAN,BRD4,Bromodomain-containing protein 4,995923,,340891,576516,788651,485408
O60888,CUTA_HUMAN,CUTA,Protein CutA,3.92E+07,5.81E+07,9.08E+07,3.92E+07,2.44E+07,2.69E+07
O60896,RAMP3_HUMAN,RAMP3,Receptor activity-modifying protein 3,,,,,7281.65,
O60907,TBL1X_HUMAN,TBL1X,F-box-like/WD repeat-containing protein TBL1X,239255,,,,,
O60911,CATL2_HUMAN,CTSV,Cathepsin L2,444776,1.22E+06,,471309,610412,1.13E+06
O60925,PFD1_HUMAN,PFDN1,Prefoldin subunit 1,4.76E+06,5.44E+06,7.80E+06,5.69E+06,5.98E+06,6.43E+06
O60927,PP1RB_HUMAN,PPP1R11,E3 ubiquitin-protein ligase PPP1R11,729029,1.08E+06,423396,495508,410470,590361
O60934,NBN_HUMAN,NBN,Nibrin,974376,,430867,888980,786418,658480
O60936,NOL3_HUMAN,NOL3,Nucleolar protein 3,293468,861767,940017,334058,230585,294888
O60941;Q9Y4J8,DTNA_HUMAN;DTNB_HUMAN,DTNA;DTNB,Dystrobrevin beta,,,,957005,,1.22E+06
O60942,MCE1_HUMAN,RNGTT,mRNA-capping enzyme,38119.8,,,183896,,113162
O75015,FCG3B_HUMAN,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,3.56E+06,1.64E+07,5.29E+06,6.90E+06,7.24E+06,3.15E+06
O75027,ABCB7_HUMAN,ABCB7,"Iron-sulfur clusters transporter ABCB7, mitochondrial",77071.5,251125,156468,58555.6,146875,144730
O75044,SRGP2_HUMAN,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,424334,,907149,275477,367459,244587
O75063,XYLK_HUMAN,FAM20B,Glycosaminoglycan xylosylkinase,339878,,,212446,,591014
O75071,EFC14_HUMAN,EFCAB14,EF-hand calcium-binding domain-containing protein 14,3.62E+06,,6.47E+06,,,
O75083,WDR1_HUMAN,WDR1,WD repeat-containing protein 1,6.93E+07,8.59E+07,6.53E+07,6.15E+07,6.26E+07,5.17E+07
O75110,ATP9A_HUMAN,ATP9A,Probable phospholipid-transporting ATPase IIA,3472.43,,,1609.27,,
O75113,N4BP1_HUMAN,N4BP1,NEDD4-binding protein 1,1.62E+07,,1.56E+07,1.48E+07,1.45E+07,2.02E+07
O75116,ROCK2_HUMAN,ROCK2,Rho-associated protein kinase 2,1.72E+06,1.72E+06,1.76E+06,1.47E+06,1.70E+06,2.19E+06
O75122,CLAP2_HUMAN,CLASP2,CLIP-associating protein 2,1.08E+06,1.08E+06,778989,944030,1.01E+06,772332
O75128,COBL_HUMAN,COBL,Protein cordon-bleu,,,26455.3,3969.9,,
O75131,CPNE3_HUMAN,CPNE3,Copine-3,6.00E+06,5.14E+06,4.68E+06,3.78E+06,4.80E+06,1.08E+07
O75140,DEPD5_HUMAN,DEPDC5,GATOR1 complex protein DEPDC5,954.324,,1086.06,966.186,,2416.44
O75143,ATG13_HUMAN,ATG13,Autophagy-related protein 13,8913.5,,,12382.2,10172.4,
O75144,ICOSL_HUMAN,ICOSLG,ICOS ligand,258976,619689,313975,203886,234772,388238
O75146,HIP1R_HUMAN,HIP1R,Huntingtin-interacting protein 1-related protein,242423,,356340,507791,536504,351256
O75147,OBSL1_HUMAN,OBSL1,Obscurin-like protein 1,1.20E+06,,2.76E+06,687154,1.06E+06,895820
O75150,BRE1B_HUMAN,RNF40,E3 ubiquitin-protein ligase BRE1B,211094,,178972,334803,275591,327276
O75152,ZC11A_HUMAN,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,269117,,102565,168908,265481,205369
O75153,CLU_HUMAN,CLUH,Clustered mitochondria protein homolog,595561,584432,743119,812135,963960,687654
O75157,T22D2_HUMAN,TSC22D2,TSC22 domain family protein 2,87605.6,,56815.2,67960.4,38539.4,43728.4
O75164,KDM4A_HUMAN,KDM4A,Lysine-specific demethylase 4A,,,1848.16,1558.85,2969.2,
O75165,DJC13_HUMAN,DNAJC13,DnaJ homolog subfamily C member 13,1.42E+06,,1.49E+06,1.77E+06,1.30E+06,1.64E+06
O75167,PHAR2_HUMAN,PHACTR2,Phosphatase and actin regulator 2,5327.96,,2382.84,2920.75,15089.5,7034.14
O75170,PP6R2_HUMAN,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,4.09E+06,2.55E+06,3.44E+06,2.77E+06,4.04E+06,3.12E+06
O75175,CNOT3_HUMAN,CNOT3,CCR4-NOT transcription complex subunit 3,952594,840485,693709,1.12E+06,1.02E+06,924553
O75179,ANR17_HUMAN,ANKRD17,Ankyrin repeat domain-containing protein 17,10378.8,,,11343.5,14700.4,18762.3
O75190,DNJB6_HUMAN,DNAJB6,DnaJ homolog subfamily B member 6,1.35E+06,1.71E+06,3.39E+06,786126,934631,1.01E+06
O75191,XYLB_HUMAN,XYLB,Xylulose kinase,63019.3,55492.5,104544,59634.9,33140.7,48950.3
O75208,COQ9_HUMAN,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",183565,,,,9682.66,160894
O75223,GGCT_HUMAN,GGCT,Gamma-glutamylcyclotransferase,2.15E+07,5.08E+07,2.52E+07,2.77E+07,3.51E+07,1.82E+07
O75306,NDUS2_HUMAN,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",1.13E+06,,,,,
O75309,CAD16_HUMAN,CDH16,Cadherin-16,1936.46,,,,,
O75312,ZPR1_HUMAN,ZPR1,Zinc finger protein ZPR1,499443,798760,529284,552648,479365,429147
O75317,UBP12_HUMAN,USP12,Ubiquitin carboxyl-terminal hydrolase 12,,,21670.3,8082.58,19586.9,13868.8
O75323,NIPS2_HUMAN,NIPSNAP2,Protein NipSnap homolog 2,1.52E+06,,,208157,255306,744012
O75326,SEM7A_HUMAN,SEMA7A,Semaphorin-7A,236947,1.99E+06,346370,749123,417937,
O75339,CILP1_HUMAN,CILP,Cartilage intermediate layer protein 1,5.15E+06,5.09E+08,4.06E+06,4.17E+06,3.04E+06,7.01E+06
O75340,PDCD6_HUMAN,PDCD6,Programmed cell death protein 6,2.04E+07,1.65E+07,2.67E+07,2.13E+07,1.70E+07,2.47E+07
O75347,TBCA_HUMAN,TBCA,Tubulin-specific chaperone A,4.35E+07,1.01E+08,5.42E+07,3.25E+07,4.30E+07,3.86E+07
O75348,VATG1_HUMAN,ATP6V1G1,V-type proton ATPase subunit G 1,5.95E+06,9.71E+06,5.74E+06,7.21E+06,6.28E+06,6.42E+06
O75351,VPS4B_HUMAN,VPS4B,Vacuolar protein sorting-associated protein 4B,6.64E+06,8.48E+06,1.42E+07,7.19E+06,6.10E+06,6.00E+06
O75352,MPU1_HUMAN,MPDU1,Mannose-P-dolichol utilization defect 1 protein,3307.6,,,3423.39,6237.98,8139.6
O75354,ENTP6_HUMAN,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,,31555.7,69572.9,18557.9,3518.48,
O75355,ENTP3_HUMAN,ENTPD3,Ectonucleoside triphosphate diphosphohydrolase 3,1.51E+06,,8.12E+06,2.67E+06,2.12E+06,1.65E+06
O75363,BCAS1_HUMAN,BCAS1,Breast carcinoma-amplified sequence 1,469240,355818,115669,71550,,160550
O75367,H2AY_HUMAN,MACROH2A1,Core histone macro-H2A.1,4.67E+07,1.86E+07,2.31E+06,6.97E+06,1.02E+07,5.50E+06
O75368,SH3L1_HUMAN,SH3BGRL,Adapter SH3BGRL,5.39E+07,1.25E+08,6.29E+07,3.18E+07,3.42E+07,4.26E+07
O75369,FLNB_HUMAN,FLNB,Filamin-B,3.22E+07,3.15E+07,1.93E+07,2.15E+07,2.34E+07,2.01E+07
O75376,NCOR1_HUMAN,NCOR1,Nuclear receptor corepressor 1,154447,,59069.7,83527.5,153703,90125.6
O75380,NDUS6_HUMAN,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",79856.4,79617.8,,38808.8,,60179.1
O75381,PEX14_HUMAN,PEX14,Peroxisomal membrane protein PEX14,3796.37,,2439.73,6893.75,5197.74,4903.84
O75382,TRIM3_HUMAN,TRIM3,Tripartite motif-containing protein 3,189905,,120485,129576,330925,118212
O75390,CISY_HUMAN,CS,"Citrate synthase, mitochondrial",2.56E+06,3.41E+06,924639,1.30E+06,1.06E+06,1.89E+06
O75391,SPAG7_HUMAN,SPAG7,Sperm-associated antigen 7,579722,,554357,415468,431119,545933
O75396,SC22B_HUMAN,SEC22B,Vesicle-trafficking protein SEC22b,1.45E+07,1.02E+07,5.21E+06,1.03E+07,1.44E+07,1.71E+07
O75400,PR40A_HUMAN,PRPF40A,Pre-mRNA-processing factor 40 homolog A,2.04E+06,,1.25E+06,1.29E+06,2.71E+06,3.71E+06
O75410,TACC1_HUMAN,TACC1,Transforming acidic coiled-coil-containing protein 1,51514.4,,44121.5,50577.1,43905.8,77260.3
O75427,LRCH4_HUMAN,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,11752.8,,,2618.55,6435.05,7189.4
O75431,MTX2_HUMAN,MTX2,Metaxin-2,3021.78,,,,,
O75436,VP26A_HUMAN,VPS26A,Vacuolar protein sorting-associated protein 26A,7.00E+06,6.29E+06,5.74E+06,6.89E+06,7.00E+06,5.17E+06
O75439,MPPB_HUMAN,PMPCB,Mitochondrial-processing peptidase subunit beta,344734,1.07E+07,,97279.6,333697,164529
O75449,KTNA1_HUMAN,KATNA1,Katanin p60 ATPase-containing subunit A1,10024.3,,15146.1,15371.1,13229,
O75475,PSIP1_HUMAN,PSIP1,PC4 and SFRS1-interacting protein,2.75E+06,3.18E+06,1.20E+06,1.34E+06,1.85E+06,1.52E+06
